index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Ta metal,0.1,0.19999999999999477,0.0,0.09999999999999476
0,BOE_WK0,,,Ta interface,0.1,0.19999999999999477,0.0,0.09999999999999476
0,BOE_WK0,,,Ta alloy,0.1,0.19999999999999477,0.0,0.09999999999999476
0,BOE_WK0,,,Ta+1,0.2,0.6441388778161344,0.0,0.4441388778161344
0,BOE_WK0,,,Ta+3,0.2,0.6441388778161344,0.0,0.4441388778161344
0,BOE_WK0,,,Ta+5 (Ta2O5),0.2,0.6441388778161344,0.0,0.4441388778161344
1,BOE_WK1,,,Ta metal,0.1,0.19999999999998733,0.0,0.09999999999998732
1,BOE_WK1,,,Ta interface,0.1,0.19999999999998733,0.0,0.09999999999998732
1,BOE_WK1,,,Ta alloy,0.1,0.19999999999998733,0.0,0.09999999999998732
1,BOE_WK1,,,Ta+1,0.2,0.5811814230773134,0.0,0.38118142307731334
1,BOE_WK1,,,Ta+3,0.2,0.5811814230773134,0.0,0.38118142307731334
1,BOE_WK1,,,Ta+5 (Ta2O5),0.2,0.5811814230773134,0.0,0.38118142307731334
2,BOE_WK2,,,Ta metal,0.1,0.1999999999999687,0.0,0.0999999999999687
2,BOE_WK2,,,Ta interface,0.1,0.1999999999999687,0.0,0.0999999999999687
2,BOE_WK2,,,Ta alloy,0.1,0.1999999999999687,0.0,0.0999999999999687
2,BOE_WK2,,,Ta+1,0.2,0.5802365972012082,0.0,0.3802365972012082
2,BOE_WK2,,,Ta+3,0.2,0.5802365972012082,0.0,0.3802365972012082
2,BOE_WK2,,,Ta+5 (Ta2O5),0.2,0.5802365972012082,0.0,0.3802365972012082
3,BOE_WK3,,,Ta metal,0.1,0.19999999999996954,2.0464818002034838e-08,0.09999999999996953
3,BOE_WK3,,,Ta interface,0.1,0.19999999999996954,2.0464818021097298e-08,0.09999999999996953
3,BOE_WK3,,,Ta alloy,0.1,0.19999999999996954,2.0464818021097298e-08,0.09999999999996953
3,BOE_WK3,,,Ta+1,0.2,0.5821726291116625,0.002940730340590613,0.38217262911166244
3,BOE_WK3,,,Ta+3,0.2,0.5821726291116625,0.002940730340590613,0.38217262911166244
3,BOE_WK3,,,Ta+5 (Ta2O5),0.2,0.5821726291116625,0.002940730343720123,0.38217262911166244
4,Control_WK0,,,Ta metal,0.1,0.1999999999999999,1.5638046541161963e-09,0.0999999999999999
4,Control_WK0,,,Ta interface,0.1,0.1999999999999999,1.5638046555726037e-09,0.0999999999999999
4,Control_WK0,,,Ta alloy,0.1,0.1999999999999999,1.5638046555726037e-09,0.0999999999999999
4,Control_WK0,,,Ta+1,0.2,0.5562030626377888,0.003653985955173158,0.35620306263778884
4,Control_WK0,,,Ta+3,0.2,0.5562030626377888,0.003653985955173158,0.35620306263778884
4,Control_WK0,,,Ta+5 (Ta2O5),0.2,0.5562030626377888,0.0036539859490002783,0.35620306263778884
5,Control_WK1,,,Ta metal,0.1,0.199999999999931,4.081481727273047e-08,0.099999999999931
5,Control_WK1,,,Ta interface,0.1,0.199999999999931,4.081481731075628e-08,0.099999999999931
5,Control_WK1,,,Ta alloy,0.1,0.199999999999931,4.081481731075628e-08,0.099999999999931
5,Control_WK1,,,Ta+1,0.2,0.5499237712582589,0.003382949019751966,0.34992377125825885
5,Control_WK1,,,Ta+3,0.2,0.5499237712582589,0.003382949019751966,0.34992377125825885
5,Control_WK1,,,Ta+5 (Ta2O5),0.2,0.5499237712582589,0.003382949026694605,0.34992377125825885
6,Control_WK2,,,Ta metal,0.1,0.19999999999999787,6.723067761653791e-09,0.09999999999999787
6,Control_WK2,,,Ta interface,0.1,0.19999999999999787,6.7230677679152135e-09,0.09999999999999787
6,Control_WK2,,,Ta alloy,0.1,0.19999999999999787,6.7230677679152135e-09,0.09999999999999787
6,Control_WK2,,,Ta+1,0.2,0.5460025073422138,0.003247253710914214,0.34600250734221377
6,Control_WK2,,,Ta+3,0.2,0.5460025073422138,0.003247253710914214,0.34600250734221377
6,Control_WK2,,,Ta+5 (Ta2O5),0.2,0.5460025073422138,0.0032472537117018553,0.34600250734221377
7,CTRL,,,Ta metal,0.1,0.19999999999989884,4.932085908311257e-08,0.09999999999989884
7,CTRL,,,Ta interface,0.1,0.19999999999989884,4.932085912907109e-08,0.09999999999989884
7,CTRL,,,Ta alloy,0.1,0.19999999999989884,4.932085912907109e-08,0.09999999999989884
7,CTRL,,,Ta+1,0.2,0.5502766899150964,0.0032533220398067637,0.35027668991509636
7,CTRL,,,Ta+3,0.2,0.5502766899150964,0.0032533220398067637,0.35027668991509636
7,CTRL,,,Ta+5 (Ta2O5),0.2,0.5502766899150964,0.0032533220438489096,0.35027668991509636
