index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm,group,week,baseline_value,delta_from_wk0
0,BOE_WK0,,,1.4130678772016088,0.0,BOE,0.0,1.4130678772016088,0.0
1,BOE_WK1,,,2.47148021225581,0.0,BOE,1.0,1.4130678772016088,1.0584123350542012
2,BOE_WK2,,,2.5614131458332947,0.0,BOE,2.0,1.4130678772016088,1.148345268631686
3,BOE_WK3,,,2.571162362959524,0.15469452952176724,BOE,3.0,1.4130678772016088,1.1580944857579152
4,Control_WK0,,,3.443480332487935,0.10119853779709446,Control,0.0,3.443480332487935,0.0
5,Control_WK1,,,3.37164649434308,0.23036705923324136,Control,1.0,3.443480332487935,-0.07183383814485511
6,Control_WK2,,,3.3428576356278197,0.21179757016017497,Control,2.0,3.443480332487935,-0.10062269686011538
