index,sample,etchlevel,etchtime,metal_frac,metal_err,Ta5_frac,Ta5_err,Ta3_frac,Ta3_err,Ta1_frac,Ta1_err,interface_frac,interface_err,alloy_frac,alloy_err
0,BOE_WK0,,,0.43028280463322277,0.0,0.3291324241969955,0.0,0.033387570890342146,0.0,0.10316490293008275,0.0,0.1040322973493545,0.0,2.309981036438192e-15,0.0
1,BOE_WK1,,,0.26804039502299903,0.0,0.5038071134395513,0.0,0.05663012286690774,0.0,0.06592297397340716,0.0,0.10559939469713411,0.0,5.861943968966579e-16,0.0
2,BOE_WK2,,,0.2580336473761349,0.0,0.5395358674084276,0.0,0.05562122803821065,0.0,0.0413865441013477,0.0,0.1054227130758762,0.0,2.926068084387533e-15,0.0
3,BOE_WK3,,,0.25525520710952443,0.020921631469527042,0.5224200030449611,0.002158658206624461,0.052701431379670184,0.00861111296431134,0.05823225746218377,0.02357383425156985,0.1057194882623195,0.0004420629216302177,0.005671612741341117,0.004937376490051866
4,Control_WK0,,,0.1765994113909448,0.008633470789578896,0.6543081689812527,0.003359229722860688,0.03412751132193188,0.0026305574742898617,0.016352177455822403,0.007575627828729701,0.10615394625515605,0.0003687259352773827,0.012458784594892212,0.003185886334819214
5,Control_WK1,,,0.18327915615966806,0.021458604152836975,0.6560319446131299,0.002968332786862997,0.03427633383548786,0.002761010040024856,0.014957416705284497,0.003120121643946015,0.10378993373590331,0.02120085526000027,0.007665214950526388,0.0035097976208134088
6,Control_WK2,,,0.18662458615373725,0.020172627435837753,0.6593482998897349,0.0029887013867036993,0.03307410745431072,0.002636620838173608,0.015223354982697944,0.0028708946809597024,0.09542158371297661,0.019754255705089388,0.01030806780654255,0.003333590763772092
7,CTRL,,,0.1793937646578523,0.022300952991311858,0.6588745471137629,0.002891998062201096,0.034942375186481814,0.002812096801844281,0.013953786376817856,0.0029692534294294103,0.1044410646755528,0.021777552221900552,0.008394461989532297,0.003250999498129523
