group,week,mean,std,count,sem
BOE,0.0,1.1424922217348854,,1,0.0
BOE,1.0,1.6276191103919098,,1,0.0
BOE,2.0,1.8798965444017992,,1,0.0
BOE,3.0,1.748395807838747,,1,0.0
Control,0.0,1.309388624798183,,1,0.0
Control,1.0,1.3414875629809826,,1,0.0
Control,2.0,1.3599628505741437,,1,0.0
