element,species,spin,group,weighted_mean_delta_eV,weighted_stderr_eV,flagged
Re4f,Re metal,5/2,BOE,0.22724178890973512,0.05,False
Re4f,Re metal,5/2,Control,0.2360503422385989,0.05773502691896258,False
Re4f,Re metal,7/2,BOE,0.21510085040282512,0.05,False
Re4f,Re metal,7/2,Control,0.2203487249291456,0.05773502691896258,False
Re4f,Re2O7 (Re7+),5/2,BOE,0.28521073254268947,0.05622242714231252,False
Re4f,Re2O7 (Re7+),5/2,Control,0.39928988586002134,0.05773502691896258,False
Re4f,Re2O7 (Re7+),7/2,BOE,0.27491193066162023,0.05618244617358312,False
Re4f,Re2O7 (Re7+),7/2,Control,0.38358826855056094,0.05773502691896258,False
Re4f,ReO2 (Re4+),5/2,BOE,-0.48785906149307934,0.05,False
Re4f,ReO2 (Re4+),5/2,Control,-0.484298382690542,0.05773502691896258,False
Re4f,ReO2 (Re4+),7/2,BOE,-0.49999999999998934,0.05,False
Re4f,ReO2 (Re4+),7/2,Control,-0.4999999999999929,0.05773502691896258,False
Re4f,ReO3 (Re6+),5/2,BOE,0.4329526472026384,0.05,False
Re4f,ReO3 (Re6+),5/2,Control,0.49778350920633113,0.05773502691896258,False
Re4f,ReO3 (Re6+),7/2,BOE,0.42081170869572126,0.05,False
Re4f,ReO3 (Re6+),7/2,Control,0.48208189189687306,0.05773502691896258,False
Ta4f,Ta alloy,5/2,BOE,0.4476182420167305,0.05,True
Ta4f,Ta alloy,5/2,Control,0.8253242944613064,0.07815044921840911,True
Ta4f,Ta alloy,7/2,BOE,0.43761824201672894,0.05,True
Ta4f,Ta alloy,7/2,Control,0.8153242944613048,0.07815044921840911,True
Ta4f,Ta interface,5/2,BOE,0.34546386415458036,0.05,False
Ta4f,Ta interface,5/2,Control,0.326390068308091,0.05773502691896258,False
Ta4f,Ta interface,7/2,BOE,0.33546386415458235,0.05,False
Ta4f,Ta interface,7/2,Control,0.316390068308093,0.05773502691896258,False
Ta4f,Ta metal,5/2,BOE,0.44193169052668857,0.05,False
Ta4f,Ta metal,5/2,Control,0.4231292326690325,0.05773502691896258,False
Ta4f,Ta metal,7/2,BOE,0.431931690526687,0.05,False
Ta4f,Ta metal,7/2,Control,0.4131292326690309,0.05773502691896258,False
Ta4f,Ta+1,5/2,BOE,-0.1642683278483758,0.052797064637496095,True
Ta4f,Ta+1,5/2,Control,-0.6797690643638978,0.06670111466271206,True
Ta4f,Ta+1,7/2,BOE,-0.17426832782268617,0.0527970646444543,True
Ta4f,Ta+1,7/2,Control,-0.6897690643248292,0.06670111464694146,True
Ta4f,Ta+3,5/2,BOE,-0.6273096152940623,0.05,False
Ta4f,Ta+3,5/2,Control,-0.6230751323660684,0.05773502691896258,False
Ta4f,Ta+3,7/2,BOE,-0.6373096152940603,0.05,False
Ta4f,Ta+3,7/2,Control,-0.6330751323660664,0.05773502691896258,False
Ta4f,Ta+5 (Ta2O5),5/2,BOE,-0.8998358583844661,0.05,False
Ta4f,Ta+5 (Ta2O5),5/2,Control,-0.803005975469361,0.05773502691896258,False
Ta4f,Ta+5 (Ta2O5),7/2,BOE,-0.9098358583844676,0.05,False
Ta4f,Ta+5 (Ta2O5),7/2,Control,-0.8130059754693626,0.05773502691896258,False
