sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
BOE_WK0,BOE,Ta4f,Ta metal,7/2,22.0,22.446793251433547,0.0,0.4467932514335473
BOE_WK0,BOE,Ta4f,Ta metal,5/2,23.9,24.356793251433547,0.0,0.4567932514335489
BOE_WK0,BOE,Ta4f,Ta interface,7/2,22.4,22.739790277325216,0.0,0.3397902773252177
BOE_WK0,BOE,Ta4f,Ta interface,5/2,24.3,24.649790277325216,0.0,0.3497902773252157
BOE_WK0,BOE,Ta4f,Ta alloy,7/2,24.0,24.37278952142885,0.0,0.37278952142884947
BOE_WK0,BOE,Ta4f,Ta alloy,5/2,25.9,26.28278952142885,0.0,0.38278952142885103
BOE_WK0,BOE,Ta4f,Ta+1,7/2,22.7,22.85459550973635,0.0,0.1545955097363496
BOE_WK0,BOE,Ta4f,Ta+1,5/2,24.6,24.76459550973635,0.0,0.16459550973634762
BOE_WK0,BOE,Ta4f,Ta+3,7/2,24.2,23.75076153882279,0.0,-0.44923846117720956
BOE_WK0,BOE,Ta4f,Ta+3,5/2,26.1,25.66076153882279,0.0,-0.43923846117721155
BOE_WK0,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.88267101413239,0.0,-0.9173289858676092
BOE_WK0,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.79267101413239,0.0,-0.9073289858676077
BOE_WK1,BOE,Ta4f,Ta metal,7/2,22.0,22.429562746071543,0.0,0.429562746071543
BOE_WK1,BOE,Ta4f,Ta metal,5/2,23.9,24.339562746071543,0.0,0.43956274607154455
BOE_WK1,BOE,Ta4f,Ta interface,7/2,22.4,22.71348116673435,0.0,0.313481166734352
BOE_WK1,BOE,Ta4f,Ta interface,5/2,24.3,24.62348116673435,0.0,0.32348116673435
BOE_WK1,BOE,Ta4f,Ta alloy,7/2,24.0,24.84231534389658,0.0,0.8423153438965798
BOE_WK1,BOE,Ta4f,Ta alloy,5/2,25.9,26.75231534389658,0.0,0.8523153438965814
BOE_WK1,BOE,Ta4f,Ta+1,7/2,22.7,22.512299412918733,0.0,-0.1877005870812667
BOE_WK1,BOE,Ta4f,Ta+1,5/2,24.6,24.422299412918733,0.0,-0.17770058708126868
BOE_WK1,BOE,Ta4f,Ta+3,7/2,24.2,23.5,0.0,-0.6999999999999993
BOE_WK1,BOE,Ta4f,Ta+3,5/2,26.1,25.41,0.0,-0.6900000000000013
BOE_WK1,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.859582150158122,0.0,-0.9404178498418787
BOE_WK1,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.769582150158122,0.0,-0.9304178498418771
BOE_WK2,BOE,Ta4f,Ta metal,7/2,22.0,22.428960204481378,0.0,0.4289602044813776
BOE_WK2,BOE,Ta4f,Ta metal,5/2,23.9,24.338960204481378,0.0,0.4389602044813792
BOE_WK2,BOE,Ta4f,Ta interface,7/2,22.4,22.754954935350177,0.0,0.35495493535017886
BOE_WK2,BOE,Ta4f,Ta interface,5/2,24.3,24.664954935350178,0.0,0.36495493535017687
BOE_WK2,BOE,Ta4f,Ta alloy,7/2,24.0,24.612957542617366,0.0,0.6129575426173659
BOE_WK2,BOE,Ta4f,Ta alloy,5/2,25.9,26.522957542617366,0.0,0.6229575426173675
BOE_WK2,BOE,Ta4f,Ta+1,7/2,22.7,22.26754609446376,0.0,-0.43245390553623864
BOE_WK2,BOE,Ta4f,Ta+1,5/2,24.6,24.17754609446376,0.0,-0.4224539055362406
BOE_WK2,BOE,Ta4f,Ta+3,7/2,24.2,23.500000000000927,0.0,-0.699999999999072
BOE_WK2,BOE,Ta4f,Ta+3,5/2,26.1,25.410000000000927,0.0,-0.689999999999074
BOE_WK2,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.936587078201335,0.0,-0.8634129217986661
BOE_WK2,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.846587078201335,0.0,-0.8534129217986646
