index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Re4f,Re metal,7/2,40.3,40.51760587187059,0.005087462166271823,0.217605871870596
0,BOE_WK0,,,Re4f,Re metal,5/2,42.7,42.93677639996154,0.008378935415883677,0.23677639996153488
0,BOE_WK0,,,Re4f,ReO2 (Re4+),7/2,42.3,41.80000000000003,1.9948827023984648e-08,-0.4999999999999645
0,BOE_WK0,,,Re4f,ReO2 (Re4+),5/2,44.7,44.21917052809098,0.009760986284106023,-0.4808294719090256
0,BOE_WK0,,,Re4f,ReO3 (Re6+),7/2,43.1,43.4308055766348,0.06664550696462633,0.3308055766348019
0,BOE_WK0,,,Re4f,ReO3 (Re6+),5/2,45.5,45.84997610472575,0.06494321657032698,0.3499761047257479
0,BOE_WK0,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.76340854060326,0.24390334003529204,0.26340854060325825
0,BOE_WK0,,,Re4f,Re2O7 (Re7+),5/2,47.9,48.1825790686942,0.2472382027864543,0.28257906869420424
1,BOE_WK1,,,Re4f,Re metal,7/2,40.3,40.513533433480184,0.0042135833813685,0.21353343348018683
1,BOE_WK1,,,Re4f,Re metal,5/2,42.7,42.924752881115246,0.006801094658474404,0.2247528811152435
1,BOE_WK1,,,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.7528291750556949e-09,-0.5
1,BOE_WK1,,,Re4f,ReO2 (Re4+),5/2,44.7,44.21121944763506,0.007624604524909012,-0.48878055236494333
1,BOE_WK1,,,Re4f,ReO3 (Re6+),7/2,43.1,43.54629355688665,0.04122458786939087,0.4462935568866513
1,BOE_WK1,,,Re4f,ReO3 (Re6+),5/2,45.5,45.957513004521715,0.04299888239185272,0.45751300452171506
1,BOE_WK1,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.766266432158446,0.02442701079880182,0.2662664321584458
1,BOE_WK1,,,Re4f,Re2O7 (Re7+),5/2,47.9,48.17748587979351,0.025601843139687528,0.2774858797935096
2,BOE_WK2,,,Re4f,Re metal,7/2,40.3,40.51880465595976,0.0038234886806533014,0.21880465595976517
2,BOE_WK2,,,Re4f,Re metal,5/2,42.7,42.92518421494294,0.006251861975599803,0.22518421494293506
2,BOE_WK2,,,Re4f,ReO2 (Re4+),7/2,42.3,41.800000000000004,7.06946890005037e-09,-0.4999999999999929
2,BOE_WK2,,,Re4f,ReO2 (Re4+),5/2,44.7,44.20637955898318,0.006808692161114282,-0.493620441016823
2,BOE_WK2,,,Re4f,ReO3 (Re6+),7/2,43.1,43.53735366188744,0.03599501862557646,0.4373536618874354
2,BOE_WK2,,,Re4f,ReO3 (Re6+),5/2,45.5,45.94373322087061,0.03760757715395875,0.4437332208706124
2,BOE_WK2,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.69023126477687,0.014247694433179903,0.19023126477686958
2,BOE_WK2,,,Re4f,Re2O7 (Re7+),5/2,47.9,48.096610823760045,0.0158515547487662,0.19661082376004657
3,BOE_WK3,,,Re4f,Re metal,7/2,40.3,40.51045944030075,0.004144757518551179,0.21045944030075248
3,BOE_WK3,,,Re4f,Re metal,5/2,42.7,42.92225365961923,0.006409606810709529,0.22225365961922705
3,BOE_WK3,,,Re4f,ReO2 (Re4+),7/2,42.3,41.8,4.38056645747052e-09,-0.5
3,BOE_WK3,,,Re4f,ReO2 (Re4+),5/2,44.7,44.21179421931848,0.007148617180900728,-0.4882057806815254
3,BOE_WK3,,,Re4f,ReO3 (Re6+),7/2,43.1,43.568794039374,0.04101640398805725,0.46879403937399644
3,BOE_WK3,,,Re4f,ReO3 (Re6+),5/2,45.5,45.98058825869248,0.04240586635434668,0.4805882586924781
3,BOE_WK3,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.87017180063155,0.020181664929274652,0.3701718006315531
3,BOE_WK3,,,Re4f,Re2O7 (Re7+),5/2,47.9,48.28196601995003,0.020897551862954895,0.38196601995003476
4,Control_WK0,,,Re4f,Re metal,7/2,40.3,40.5249644657549,0.004627979889978421,0.22496446575490125
4,Control_WK0,,,Re4f,Re metal,5/2,42.7,42.94205040033528,0.007572281112613745,0.24205040033528036
4,Control_WK0,,,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.0032244923946785e-09,-0.5
4,Control_WK0,,,Re4f,ReO2 (Re4+),5/2,44.7,44.21708593458038,0.008692600687140612,-0.4829140654196209
4,Control_WK0,,,Re4f,ReO3 (Re6+),7/2,43.1,43.577059149190475,0.06696535676519007,0.4770591491904739
