index,sample,etchlevel,etchtime,sample_type,species,expected_amp,fitted_amp,stderr,delta
0,BOE_WK0,,,BOE samples,Re metal,0.7,0.6988096436698309,0.007932159586487051,-0.0011903563301690623
0,BOE_WK0,,,BOE samples,ReO2 (Re4+),0.15,0.18384230210080504,0.007466964614959532,0.03384230210080505
0,BOE_WK0,,,BOE samples,ReO3 (Re6+),0.1,0.05261595207553496,0.011054368109857755,-0.047384047924465045
0,BOE_WK0,,,BOE samples,Re2O7 (Re7+),0.05,0.0647321021538291,0.006290324035736475,0.0147321021538291
1,BOE_WK1,,,BOE samples,Re metal,0.7,0.5980760444398433,0.0057297571066628784,-0.10192395556015665
1,BOE_WK1,,,BOE samples,ReO2 (Re4+),0.15,0.18172589073524453,0.005214786610609034,0.03172589073524454
1,BOE_WK1,,,BOE samples,ReO3 (Re6+),0.1,0.06374049810789985,0.00716092479562333,-0.03625950189210016
1,BOE_WK1,,,BOE samples,Re2O7 (Re7+),0.05,0.15645756671701233,0.004340505320532067,0.10645756671701233
2,BOE_WK2,,,BOE samples,Re metal,0.7,0.5511957168646612,0.004837746864357212,-0.14880428313533878
2,BOE_WK2,,,BOE samples,ReO2 (Re4+),0.15,0.17281421937344416,0.004500813896679448,0.02281421937344416
2,BOE_WK2,,,BOE samples,ReO3 (Re6+),0.1,0.07343693226332702,0.006021489950454329,-0.026563067736672982
2,BOE_WK2,,,BOE samples,Re2O7 (Re7+),0.05,0.20255313149856766,0.004070593799322496,0.15255313149856764
3,BOE_WK3,,,BOE samples,Re metal,0.7,0.5751860449293816,0.005305209763594275,-0.12481395507061832
3,BOE_WK3,,,BOE samples,ReO2 (Re4+),0.15,0.17832225300675597,0.005072386614653592,0.028322253006755976
3,BOE_WK3,,,BOE samples,ReO3 (Re6+),0.1,0.06816952478270086,0.007811949801145255,-0.03183047521729915
3,BOE_WK3,,,BOE samples,Re2O7 (Re7+),0.05,0.17832217728116156,0.004403460104134079,0.12832217728116158
4,Control_WK0,,,Control samples,Re metal,0.5,0.6625080402162786,0.006947394375957249,0.16250804021627863
4,Control_WK0,,,Control samples,ReO2 (Re4+),0.25,0.1674841407055969,0.006320611001253116,-0.08251585929440311
4,Control_WK0,,,Control samples,ReO3 (Re6+),0.15,0.060210307060616204,0.011775988493627201,-0.0897896929393838
4,Control_WK0,,,Control samples,Re2O7 (Re7+),0.1,0.10979751201750833,0.005650538141512538,0.009797512017508322
5,Control_WK1,,,Control samples,Re metal,0.5,0.655728852943141,0.0066674645194477,0.15572885294314098
5,Control_WK1,,,Control samples,ReO2 (Re4+),0.25,0.1655103345817357,0.0060061143487362195,-0.0844896654182643
5,Control_WK1,,,Control samples,ReO3 (Re6+),0.15,0.058900172291055375,0.009591987542688616,-0.09109982770894462
5,Control_WK1,,,Control samples,Re2O7 (Re7+),0.1,0.11986064018406799,0.005116594192822082,0.019860640184067982
6,Control_WK2,,,Control samples,Re metal,0.5,0.6518560610571024,0.006624229502242332,0.15185606105710237
6,Control_WK2,,,Control samples,ReO2 (Re4+),0.25,0.16449418047571213,0.00599455231132244,-0.08550581952428787
6,Control_WK2,,,Control samples,ReO3 (Re6+),0.15,0.060484510237115714,0.009488318115597078,-0.08951548976288429
6,Control_WK2,,,Control samples,Re2O7 (Re7+),0.1,0.12316524823006979,0.005189620997730875,0.023165248230069782
7,CTRL,,,Control samples,Re metal,0.5,0.6514170276479785,0.006730797042315344,0.15141702764797849
7,CTRL,,,Control samples,ReO2 (Re4+),0.25,0.16407429901037177,0.006092742217961982,-0.08592570098962823
7,CTRL,,,Control samples,ReO3 (Re6+),0.15,0.0591843158247392,0.009551660702810655,-0.09081568417526079
7,CTRL,,,Control samples,Re2O7 (Re7+),0.1,0.12532435751691054,0.005241391667981957,0.025324357516910534
