index,sample,etchlevel,etchtime,sample_type,species,expected_amp,fitted_amp,stderr,delta
0,BOE_WK0,,,BOE samples,Ta metal,0.4,0.43028280463322277,0.0,0.03028280463322275
0,BOE_WK0,,,BOE samples,Ta interface,0.1,0.1040322973493545,0.0,0.004032297349354494
0,BOE_WK0,,,BOE samples,Ta alloy,0.15,2.309981036438192e-15,0.0,-0.1499999999999977
0,BOE_WK0,,,BOE samples,Ta+1,0.05,0.10316490293008275,0.0,0.05316490293008275
0,BOE_WK0,,,BOE samples,Ta+3,0.05,0.033387570890342146,0.0,-0.016612429109657857
0,BOE_WK0,,,BOE samples,Ta+5 (Ta2O5),0.25,0.3291324241969955,0.0,0.07913242419699551
1,BOE_WK1,,,BOE samples,Ta metal,0.4,0.26804039502299903,0.0,-0.131959604977001
1,BOE_WK1,,,BOE samples,Ta interface,0.1,0.10559939469713411,0.0,0.005599394697134108
1,BOE_WK1,,,BOE samples,Ta alloy,0.15,5.861943968966579e-16,0.0,-0.1499999999999994
1,BOE_WK1,,,BOE samples,Ta+1,0.05,0.06592297397340716,0.0,0.015922973973407153
1,BOE_WK1,,,BOE samples,Ta+3,0.05,0.05663012286690774,0.0,0.006630122866907735
1,BOE_WK1,,,BOE samples,Ta+5 (Ta2O5),0.25,0.5038071134395513,0.0,0.2538071134395513
2,BOE_WK2,,,BOE samples,Ta metal,0.4,0.2580336473761349,0.0,-0.14196635262386514
2,BOE_WK2,,,BOE samples,Ta interface,0.1,0.1054227130758762,0.0,0.00542271307587619
2,BOE_WK2,,,BOE samples,Ta alloy,0.15,2.926068084387533e-15,0.0,-0.14999999999999708
2,BOE_WK2,,,BOE samples,Ta+1,0.05,0.0413865441013477,0.0,-0.008613455898652304
2,BOE_WK2,,,BOE samples,Ta+3,0.05,0.05562122803821065,0.0,0.005621228038210649
2,BOE_WK2,,,BOE samples,Ta+5 (Ta2O5),0.25,0.5395358674084276,0.0,0.2895358674084276
3,BOE_WK3,,,BOE samples,Ta metal,0.4,0.25525520710952443,0.02115123989709312,-0.1447447928904756
3,BOE_WK3,,,BOE samples,Ta interface,0.1,0.1057194882623195,6.297205363272765e-08,0.005719488262319494
3,BOE_WK3,,,BOE samples,Ta alloy,0.15,0.005671612741341117,0.004937764195110902,-0.14432838725865887
3,BOE_WK3,,,BOE samples,Ta+1,0.05,0.05823225746218377,0.02353112566290294,0.00823225746218377
3,BOE_WK3,,,BOE samples,Ta+3,0.05,0.052701431379670184,0.008628666612829572,0.0027014313796701814
3,BOE_WK3,,,BOE samples,Ta+5 (Ta2O5),0.25,0.5224200030449611,0.0031119806064875324,0.27242000304496106
4,Control_WK0,,,Control samples,Ta metal,0.2,0.1765994113909448,0.008728607525776488,-0.023400588609055223
4,Control_WK0,,,Control samples,Ta interface,0.05,0.10615394625515605,9.253297308953213e-07,0.056153946255156045
4,Control_WK0,,,Control samples,Ta alloy,0.05,0.012458784594892212,0.003181956597493888,-0.03754121540510779
4,Control_WK0,,,Control samples,Ta+1,0.05,0.016352177455822403,0.007571560268392412,-0.0336478225441776
4,Control_WK0,,,Control samples,Ta+3,0.1,0.03412751132193188,0.002627218887431004,-0.06587248867806812
4,Control_WK0,,,Control samples,Ta+5 (Ta2O5),0.55,0.6543081689812527,0.004244165364679007,0.10430816898125261
5,Control_WK1,,,Control samples,Ta metal,0.2,0.18327915615966806,0.021487218365999275,-0.016720843840331956
5,Control_WK1,,,Control samples,Ta interface,0.05,0.10378993373590331,0.02119384765531126,0.05378993373590331
5,Control_WK1,,,Control samples,Ta alloy,0.05,0.007665214950526388,0.003507642239286003,-0.04233478504947361
5,Control_WK1,,,Control samples,Ta+1,0.05,0.014957416705284497,0.003122634048316706,-0.035042583294715504
5,Control_WK1,,,Control samples,Ta+3,0.1,0.03427633383548786,0.0027570309375297853,-0.06572366616451214
5,Control_WK1,,,Control samples,Ta+5 (Ta2O5),0.55,0.6560319446131299,0.0040223996716928735,0.10603194461312981
6,Control_WK2,,,Control samples,Ta metal,0.2,0.18662458615373725,0.02020252324005673,-0.013375413846262757
6,Control_WK2,,,Control samples,Ta interface,0.05,0.09542158371297661,0.01974612419964567,0.04542158371297661
6,Control_WK2,,,Control samples,Ta alloy,0.05,0.01030806780654255,0.0033306701001064904,-0.03969193219345745
6,Control_WK2,,,Control samples,Ta+1,0.05,0.015223354982697944,0.0028736129125683228,-0.03477664501730206
6,Control_WK2,,,Control samples,Ta+3,0.1,0.03307410745431072,0.0026319735339280477,-0.06692589254568929
6,Control_WK2,,,Control samples,Ta+5 (Ta2O5),0.55,0.6593482998897349,0.003896184252353961,0.10934829988973482
7,CTRL,,,Control samples,Ta metal,0.2,0.1793937646578523,0.022329859322988536,-0.0206062353421477
7,CTRL,,,Control samples,Ta interface,0.05,0.1044410646755528,0.021768359146732058,0.05444106467555279
7,CTRL,,,Control samples,Ta alloy,0.05,0.008394461989532297,0.0032486688274957587,-0.04160553801046771
7,CTRL,,,Control samples,Ta+1,0.05,0.013953786376817856,0.0029716842960568106,-0.036046213623182145
7,CTRL,,,Control samples,Ta+3,0.1,0.034942375186481814,0.002806513101134659,-0.06505762481351819
7,CTRL,,,Control samples,Ta+5 (Ta2O5),0.55,0.6588745471137629,0.0038528693392297845,0.10887454711376288
