index,sample,etchlevel,etchtime,reference_profile,species,expected_amp,fitted_amp,stderr,delta
0,ReTa03,0,0.0,Control-derived reference,Ta metal,0.2,0.09080924093473032,0.0,-0.10919075906526969
0,ReTa03,0,0.0,Control-derived reference,Ta interface,0.05,0.10897108912167634,0.0,0.05897108912167634
0,ReTa03,0,0.0,Control-derived reference,Ta alloy,0.05,0.051627231841470125,0.0,0.0016272318414701226
0,ReTa03,0,0.0,Control-derived reference,Ta+1,0.05,0.3114989246085307,0.0,0.2614989246085307
0,ReTa03,0,0.0,Control-derived reference,Ta+3,0.1,9.3443371705925e-15,0.0,-0.09999999999999067
0,ReTa03,0,0.0,Control-derived reference,Ta+5 (Ta2O5),0.55,0.4370935134935831,0.0,-0.11290648650641694
1,ReTa03,1,10.013,Control-derived reference,Ta metal,0.2,0.08859735378291791,0.05504199742073718,-0.1114026462170821
1,ReTa03,1,10.013,Control-derived reference,Ta interface,0.05,0.10631682453950146,0.07692758463123268,0.05631682453950146
1,ReTa03,1,10.013,Control-derived reference,Ta alloy,0.05,0.11593821730056413,0.015765173897819625,0.06593821730056412
1,ReTa03,1,10.013,Control-derived reference,Ta+1,0.05,0.4916438455239368,0.06659770007307945,0.4416438455239368
1,ReTa03,1,10.013,Control-derived reference,Ta+3,0.1,0.16070220186270812,0.006594257669659114,0.06070220186270811
1,ReTa03,1,10.013,Control-derived reference,Ta+5 (Ta2O5),0.55,0.03680155699037164,0.004076959996132875,-0.5131984430096284
2,ReTa03,2,20.026,Control-derived reference,Ta metal,0.2,0.08897366787063267,0.05586989860996781,-0.11102633212936734
2,ReTa03,2,20.026,Control-derived reference,Ta interface,0.05,0.10676840144475727,0.08454822099673569,0.05676840144475727
2,ReTa03,2,20.026,Control-derived reference,Ta alloy,0.05,0.09461360770839684,0.012596658660961556,0.04461360770839684
2,ReTa03,2,20.026,Control-derived reference,Ta+1,0.05,0.5338420072237863,0.06966104482266662,0.4838420072237863
2,ReTa03,2,20.026,Control-derived reference,Ta+3,0.1,0.14230069696317732,0.006239831938948476,0.042300696963177314
2,ReTa03,2,20.026,Control-derived reference,Ta+5 (Ta2O5),0.55,0.033501618789249656,0.0038272253785081064,-0.5164983812107504
3,ReTa03,3,30.038,Control-derived reference,Ta metal,0.2,0.09285092566501325,0.05508287624816007,-0.10714907433498676
3,ReTa03,3,30.038,Control-derived reference,Ta interface,0.05,0.106973376446992,0.08541500108407793,0.05697337644699199
3,ReTa03,3,30.038,Control-derived reference,Ta alloy,0.05,0.09532330478413405,0.01254317181331721,0.045323304784134044
3,ReTa03,3,30.038,Control-derived reference,Ta+1,0.05,0.5348668822349599,0.06938213872803306,0.48486688223495994
3,ReTa03,3,30.038,Control-derived reference,Ta+3,0.1,0.13942743960474047,0.0061566066999165885,0.03942743960474046
3,ReTa03,3,30.038,Control-derived reference,Ta+5 (Ta2O5),0.55,0.030558071264160297,0.003701976682739083,-0.5194419287358397
4,ReTa03,4,40.051,Control-derived reference,Ta metal,0.2,0.09943972615933946,0.0525274559209791,-0.10056027384066055
4,ReTa03,4,40.051,Control-derived reference,Ta interface,0.05,0.10684031535596096,0.08613788435670822,0.05684031535596096
4,ReTa03,4,40.051,Control-derived reference,Ta alloy,0.05,0.09243853242825041,0.011973515342517881,0.04243853242825041
4,ReTa03,4,40.051,Control-derived reference,Ta+1,0.05,0.5342015767798047,0.0685298592140824,0.48420157677980474
4,ReTa03,4,40.051,Control-derived reference,Ta+3,0.1,0.1375410349045684,0.005901623683721625,0.03754103490456839
4,ReTa03,4,40.051,Control-derived reference,Ta+5 (Ta2O5),0.55,0.029538814372075943,0.003556298388923778,-0.5204611856279241
5,ReTa03,5,50.064,Control-derived reference,Ta metal,0.2,0.09575315131799282,0.05572679964255979,-0.10424684868200719
5,ReTa03,5,50.064,Control-derived reference,Ta interface,0.05,0.10714614469603438,0.09070877520113058,0.05714614469603438
5,ReTa03,5,50.064,Control-derived reference,Ta alloy,0.05,0.09213707058150207,0.012630011945021016,0.04213707058150207
5,ReTa03,5,50.064,Control-derived reference,Ta+1,0.05,0.5357307234801718,0.07252693319513197,0.4857307234801718
5,ReTa03,5,50.064,Control-derived reference,Ta+3,0.1,0.13715823234898297,0.006185857818971964,0.03715823234898297
5,ReTa03,5,50.064,Control-derived reference,Ta+5 (Ta2O5),0.55,0.032074677575315874,0.003804448679655944,-0.5179253224246841
6,ReTa03,6,60.077,Control-derived reference,Ta metal,0.2,0.10016404974456204,0.05505802786790512,-0.09983595025543797
6,ReTa03,6,60.077,Control-derived reference,Ta interface,0.05,0.10667316488889868,0.08745012637850473,0.056673164888898675
6,ReTa03,6,60.077,Control-derived reference,Ta alloy,0.05,0.09392058563453998,0.012308779790920977,0.043920585634539974
6,ReTa03,6,60.077,Control-derived reference,Ta+1,0.05,0.5333658244444933,0.06934776866549493,0.48336582444449333
6,ReTa03,6,60.077,Control-derived reference,Ta+3,0.1,0.13578030614518932,0.005939347856864159,0.03578030614518932
6,ReTa03,6,60.077,Control-derived reference,Ta+5 (Ta2O5),0.55,0.03009606914231662,0.003606064511437045,-0.5199039308576834
7,ReTa03,7,70.09,Control-derived reference,Ta metal,0.2,0.09986533262093045,0.05588834289221691,-0.10013466737906956
7,ReTa03,7,70.09,Control-derived reference,Ta interface,0.05,0.1068519499957857,0.08752239909976885,0.0568519499957857
7,ReTa03,7,70.09,Control-derived reference,Ta alloy,0.05,0.09290399744159468,0.012273059594893809,0.04290399744159468
7,ReTa03,7,70.09,Control-derived reference,Ta+1,0.05,0.5342597499789284,0.06981147349145705,0.48425974997892846
7,ReTa03,7,70.09,Control-derived reference,Ta+3,0.1,0.13778358648736,0.005962995836374196,0.037783586487359994
7,ReTa03,7,70.09,Control-derived reference,Ta+5 (Ta2O5),0.55,0.02833538347540065,0.003596707796115609,-0.5216646165245994
8,ReTa03,8,80.103,Control-derived reference,Ta metal,0.2,0.09960434444346489,0.05629763650799854,-0.10039565555653512
8,ReTa03,8,80.103,Control-derived reference,Ta interface,0.05,0.10684943893741045,0.08732920201531555,0.05684943893741044
8,ReTa03,8,80.103,Control-derived reference,Ta alloy,0.05,0.0911913159370951,0.011943373678912642,0.0411913159370951
8,ReTa03,8,80.103,Control-derived reference,Ta+1,0.05,0.5342471946870522,0.0692066749126745,0.4842471946870522
8,ReTa03,8,80.103,Control-derived reference,Ta+3,0.1,0.13707214105075327,0.005860587404330588,0.037072141050753266
8,ReTa03,8,80.103,Control-derived reference,Ta+5 (Ta2O5),0.55,0.03103556494422406,0.003602212268226024,-0.5189644350557759
9,ReTa03,9,90.115,Control-derived reference,Ta metal,0.2,0.09935643695787473,0.05610773567902541,-0.10064356304212528
9,ReTa03,9,90.115,Control-derived reference,Ta interface,0.05,0.10706399528935992,0.08891948086384394,0.05706399528935992
9,ReTa03,9,90.115,Control-derived reference,Ta alloy,0.05,0.08988463019518293,0.011949835155524197,0.03988463019518293
9,ReTa03,9,90.115,Control-derived reference,Ta+1,0.05,0.5353199764467995,0.07056850141827965,0.48531997644679953
9,ReTa03,9,90.115,Control-derived reference,Ta+3,0.1,0.13784026182294176,0.0059274610568497196,0.037840261822941756
9,ReTa03,9,90.115,Control-derived reference,Ta+5 (Ta2O5),0.55,0.03053469928784107,0.0036515394318638377,-0.519465300712159
10,ReTa04,0,0.0,Control-derived reference,Ta metal,0.2,0.09038020765340718,0.0,-0.10961979234659283
10,ReTa04,0,0.0,Control-derived reference,Ta interface,0.05,0.10845624918408858,0.0,0.05845624918408858
10,ReTa04,0,0.0,Control-derived reference,Ta alloy,0.05,0.039934559461966466,0.0,-0.010065440538033536
