element,species,spin,group,week,mean,std,count,sem
Re4f,Re metal,5/2,BOE,0,0.11807497310683601,,1,0.0
Re4f,Re metal,5/2,BOE,1,0.1080067287730273,,1,0.0
Re4f,Re metal,5/2,BOE,2,0.10832402418169096,,1,0.0
Re4f,Re metal,5/2,BOE,3,0.09824744889504444,,1,0.0
Re4f,Re metal,5/2,Control,0,0.11353035080198737,,1,0.0
Re4f,Re metal,5/2,Control,1,0.10391345607857261,,1,0.0
Re4f,Re metal,5/2,Control,2,0.10633618776174814,,1,0.0
Re4f,Re metal,5/2,Control,3,0.10127003804809931,,1,0.0
Re4f,Re metal,7/2,BOE,0,0.10617176409625273,,1,0.0
Re4f,Re metal,7/2,BOE,1,0.09789320162965254,,1,0.0
Re4f,Re metal,7/2,BOE,2,0.10089478255392237,,1,0.0
Re4f,Re metal,7/2,BOE,3,0.09258955522344792,,1,0.0
Re4f,Re metal,7/2,Control,0,0.10734849193097062,,1,0.0
Re4f,Re metal,7/2,Control,1,0.09378565916063764,,1,0.0
Re4f,Re metal,7/2,Control,2,0.09746911235504996,,1,0.0
Re4f,Re metal,7/2,Control,3,0.09497723500378186,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,0,0.25379266149265334,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,1,0.355055481631652,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,2,0.2559869646174491,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,3,0.44691768536740284,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,0,0.6152384000848699,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,1,0.47181732810975774,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,2,0.457528495582018,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,3,0.46791904800079465,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,0,0.24188945248206295,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,1,0.34494195448827725,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,2,0.24855772298968049,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,3,0.4412597916958063,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,0,0.6090565412138531,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,1,0.46168953119182277,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,2,0.44866142017531985,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,3,0.4616262449564772,,1,0.0
Re4f,ReO (Re2+),5/2,BOE,0,0.2619032090105904,,1,0.0
Re4f,ReO (Re2+),5/2,BOE,1,0.17019473079091796,,1,0.0
Re4f,ReO (Re2+),5/2,BOE,2,0.23944619422241686,,1,0.0
Re4f,ReO (Re2+),5/2,BOE,3,0.20335521805389334,,1,0.0
Re4f,ReO (Re2+),5/2,Control,0,0.18363763649048792,,1,0.0
Re4f,ReO (Re2+),5/2,Control,1,0.13636962387459306,,1,0.0
Re4f,ReO (Re2+),5/2,Control,2,0.11189864208867562,,1,0.0
Re4f,ReO (Re2+),5/2,Control,3,0.08968840713298931,,1,0.0
Re4f,ReO (Re2+),7/2,BOE,0,0.2499999999999929,,1,0.0
Re4f,ReO (Re2+),7/2,BOE,1,0.16008120364753609,,1,0.0
Re4f,ReO (Re2+),7/2,BOE,2,0.23201695259464117,,1,0.0
Re4f,ReO (Re2+),7/2,BOE,3,0.1976973243822897,,1,0.0
Re4f,ReO (Re2+),7/2,Control,0,0.17745577761946407,,1,0.0
Re4f,ReO (Re2+),7/2,Control,1,0.12624182695665098,,1,0.0
Re4f,ReO (Re2+),7/2,Control,2,0.10303156668197033,,1,0.0
Re4f,ReO (Re2+),7/2,Control,3,0.08339560408866475,,1,0.0
Re4f,ReO2 (Re4+),5/2,BOE,0,0.4185024729302924,,1,0.0
