group,week,mean,std,count,sem
BOE,0,0.3414098044154834,,1,0.0
BOE,1,0.9909449975681048,,1,0.0
BOE,2,1.2152468343314842,,1,0.0
BOE,3,1.0540785447813965,,1,0.0
Control,0,0.5324253547811466,,1,0.0
Control,1,0.5479257202507689,,1,0.0
Control,2,0.5733322796378654,,1,0.0
Control,3,0.5849130641283795,,1,0.0
