index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
0,ReTa03,0.0,0.0,Ta metal,0.1,0.1866941274935716,0.0,0.08669412749357158
0,ReTa03,0.0,0.0,Ta interface,0.1,0.1866941274935716,0.0,0.08669412749357158
0,ReTa03,0.0,0.0,Ta alloy,0.1,0.1866941274935716,0.0,0.08669412749357158
0,ReTa03,0.0,0.0,Ta+1,0.2,0.5748665694852908,0.0,0.3748665694852908
0,ReTa03,0.0,0.0,Ta+3,0.2,0.5748665694852908,0.0,0.3748665694852908
0,ReTa03,0.0,0.0,Ta+5 (Ta2O5),0.2,0.5748665694852908,0.0,0.3748665694852908
1,ReTa03,1.0,10.013,Ta metal,0.1,0.19857632608612483,0.004841503899198655,0.09857632608612482
1,ReTa03,1.0,10.013,Ta interface,0.1,0.19857632608612483,0.004841503908850471,0.09857632608612482
1,ReTa03,1.0,10.013,Ta alloy,0.1,0.19857632608612483,0.004841503908850471,0.09857632608612482
1,ReTa03,1.0,10.013,Ta+1,0.2,0.3979628752820229,0.007335835154772513,0.1979628752820229
1,ReTa03,1.0,10.013,Ta+3,0.2,0.3979628752820229,0.007335835154772513,0.1979628752820229
1,ReTa03,1.0,10.013,Ta+5 (Ta2O5),0.2,0.3979628752820229,0.007335835147727029,0.1979628752820229
2,ReTa03,2.0,20.026,Ta metal,0.1,0.19641773082429556,0.0037503168948305045,0.09641773082429556
2,ReTa03,2.0,20.026,Ta interface,0.1,0.19641773082429556,0.003750316902633011,0.09641773082429556
2,ReTa03,2.0,20.026,Ta alloy,0.1,0.19641773082429556,0.003750316902633011,0.09641773082429556
2,ReTa03,2.0,20.026,Ta+1,0.2,0.383404137741314,0.0044032201412597905,0.18340413774131398
2,ReTa03,2.0,20.026,Ta+3,0.2,0.383404137741314,0.0044032201412597905,0.18340413774131398
2,ReTa03,2.0,20.026,Ta+5 (Ta2O5),0.2,0.383404137741314,0.004403220143265317,0.18340413774131398
3,ReTa03,3.0,30.038,Ta metal,0.1,0.2,0.0,0.1
3,ReTa03,3.0,30.038,Ta interface,0.1,0.2,0.0,0.1
3,ReTa03,3.0,30.038,Ta alloy,0.1,0.2,0.0,0.1
3,ReTa03,3.0,30.038,Ta+1,0.2,0.0038713067650688604,0.0,-0.19612869323493115
3,ReTa03,3.0,30.038,Ta+3,0.2,0.0038713067650688604,0.0,-0.19612869323493115
3,ReTa03,3.0,30.038,Ta+5 (Ta2O5),0.2,0.0038713067650688604,0.0,-0.19612869323493115
4,ReTa03,4.0,40.051,Ta metal,0.1,0.19999999999999069,0.0,0.09999999999999068
4,ReTa03,4.0,40.051,Ta interface,0.1,0.19999999999999069,0.0,0.09999999999999068
4,ReTa03,4.0,40.051,Ta alloy,0.1,0.19999999999999069,0.0,0.09999999999999068
