index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,ReTa03,0.0,0.0,Re4f,Re metal,7/2,40.3,40.69962016298651,0.005024419948965077,0.3996201629865155
0,ReTa03,0.0,0.0,Re4f,Re metal,5/2,42.7,43.1251938263223,0.00769170205239797,0.42519382632229963
0,ReTa03,0.0,0.0,Re4f,ReO2 (Re4+),7/2,42.3,41.8,3.3908476427993913e-09,-0.5
0,ReTa03,0.0,0.0,Re4f,ReO2 (Re4+),5/2,44.7,44.22557366333578,0.00886964259275953,-0.47442633666422296
0,ReTa03,0.0,0.0,Re4f,ReO3 (Re6+),7/2,43.1,43.491449747577235,0.07334616930699042,0.3914497475772336
0,ReTa03,0.0,0.0,Re4f,ReO3 (Re6+),5/2,45.5,45.91702341091302,0.07124110578740595,0.41702341091301776
0,ReTa03,0.0,0.0,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,4.0314723965253304e-08,1.1999999999999957
0,ReTa03,0.0,0.0,Re4f,Re2O7 (Re7+),5/2,47.9,49.125573663335786,0.008869642592849718,1.225573663335787
1,ReTa03,1.0,10.013,Re4f,Re metal,7/2,40.3,40.657381698033085,0.005967306203670116,0.3573816980330875
1,ReTa03,1.0,10.013,Re4f,Re metal,5/2,42.7,43.09242525793264,0.009127309371653443,0.3924252579326364
1,ReTa03,1.0,10.013,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.5936302936202572e-08,-0.5
1,ReTa03,1.0,10.013,Re4f,ReO2 (Re4+),5/2,44.7,44.23504355989955,0.01068288811348424,-0.4649564401004511
1,ReTa03,1.0,10.013,Re4f,ReO3 (Re6+),7/2,43.1,43.15836206142996,0.19373884124746835,0.05836206142996048
1,ReTa03,1.0,10.013,Re4f,ReO3 (Re6+),5/2,45.5,45.59340562132952,0.1893880128743187,0.09340562132951646
1,ReTa03,1.0,10.013,Re4f,Re2O7 (Re7+),7/2,45.5,46.69999999999997,6.819101633251713e-08,1.1999999999999673
1,ReTa03,1.0,10.013,Re4f,Re2O7 (Re7+),5/2,47.9,49.13504355989952,0.01068288811369136,1.2350435598995233
2,ReTa03,2.0,20.026,Re4f,Re metal,7/2,40.3,40.66038567734014,0.006222553650687625,0.3603856773401404
2,ReTa03,2.0,20.026,Re4f,Re metal,5/2,42.7,43.096304568376034,0.009540139067051562,0.39630456837603134
2,ReTa03,2.0,20.026,Re4f,ReO2 (Re4+),7/2,42.3,41.80000000000002,5.9089859941931805e-08,-0.4999999999999787
2,ReTa03,2.0,20.026,Re4f,ReO2 (Re4+),5/2,44.7,44.235918891035915,0.01116232289325135,-0.4640811089640877
2,ReTa03,2.0,20.026,Re4f,ReO3 (Re6+),7/2,43.1,43.143961892389605,0.1980854581323286,0.04396189238960346
2,ReTa03,2.0,20.026,Re4f,ReO3 (Re6+),5/2,45.5,45.5798807834255,0.19349029115367392,0.07988078342550153
2,ReTa03,2.0,20.026,Re4f,Re2O7 (Re7+),7/2,45.5,46.7,1.1274575446337906e-08,1.2000000000000028
2,ReTa03,2.0,20.026,Re4f,Re2O7 (Re7+),5/2,47.9,49.1359188910359,0.011162321800580155,1.235918891035901
3,ReTa03,3.0,30.038,Re4f,Re metal,7/2,40.3,40.663926907410406,0.005971822266246376,0.36392690741040923
3,ReTa03,3.0,30.038,Re4f,Re metal,5/2,42.7,43.098221752152725,0.009151856904905754,0.3982217521527218
3,ReTa03,3.0,30.038,Re4f,ReO2 (Re4+),7/2,42.3,41.800000000000004,2.999720813103833e-08,-0.4999999999999929
3,ReTa03,3.0,30.038,Re4f,ReO2 (Re4+),5/2,44.7,44.23429484474232,0.010705616700411827,-0.4657051552576803
3,ReTa03,3.0,30.038,Re4f,ReO3 (Re6+),7/2,43.1,43.15589043274313,0.19003718197273414,0.05589043274312644
3,ReTa03,3.0,30.038,Re4f,ReO3 (Re6+),5/2,45.5,45.590185277485446,0.18564348495896582,0.09018527748544614
3,ReTa03,3.0,30.038,Re4f,Re2O7 (Re7+),7/2,45.5,46.7,1.6290900457315644e-08,1.2000000000000028
3,ReTa03,3.0,30.038,Re4f,Re2O7 (Re7+),5/2,47.9,49.13429484474233,0.010705616700383416,1.2342948447423296
4,ReTa03,4.0,40.051,Re4f,Re metal,7/2,40.3,40.66055963668781,0.0061118664022784455,0.3605596366878103
4,ReTa03,4.0,40.051,Re4f,Re metal,5/2,42.7,43.09643115429248,0.00941465139479247,0.396431154292479
4,ReTa03,4.0,40.051,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.0484765553659242e-08,-0.5
4,ReTa03,4.0,40.051,Re4f,ReO2 (Re4+),5/2,44.7,44.23587151760467,0.011005565814748982,-0.46412848239533133
4,ReTa03,4.0,40.051,Re4f,ReO3 (Re6+),7/2,43.1,43.129195368096745,0.19170052672610147,0.029195368096743834
4,ReTa03,4.0,40.051,Re4f,ReO3 (Re6+),5/2,45.5,45.56506688570142,0.18712658568833604,0.06506688570141961
4,ReTa03,4.0,40.051,Re4f,Re2O7 (Re7+),7/2,45.5,46.69999999999995,8.380334555134924e-08,1.199999999999953
4,ReTa03,4.0,40.051,Re4f,Re2O7 (Re7+),5/2,47.9,49.13587151760463,0.011005564737858822,1.2358715176046289
5,ReTa03,5.0,50.064,Re4f,Re metal,7/2,40.3,40.65769120891619,0.006012502909149194,0.35769120891619366
5,ReTa03,5.0,50.064,Re4f,Re metal,5/2,42.7,43.09301035792031,0.009161840601705277,0.3930103579203106
5,ReTa03,5.0,50.064,Re4f,ReO2 (Re4+),7/2,42.3,41.80000000000002,5.9002489469316956e-08,-0.4999999999999787
