element,x0,x0_err,k,k_err,tau,tau_err,redchi
Ta,1.393128949967819,0.999999624662695,0.18923060027407565,1.3369178349060218,0.013174435781611742,0.4706284532339251,0.006400136624927553
Re,0.61598001700905,0.9999999979320583,0.10313234662896932,1.2795421620113578,0.0010000000000056734,0.09385562645514052,0.019046847644157667
