index,sample,etchlevel,etchtime,redchi,Re_metal_frac,Re_metal_err,Redp1_frac,Redp1_err,Redp2_frac,Redp2_err,Redp3_frac,Redp3_err,ReO2_frac,ReO2_err,ReO3_frac,ReO3_err,Re2O7_frac,Re2O7_err
0,BOE_WK0,,,7.244311344286191,0.8086362632125931,0.0,5.217501615162482e-15,0.0,0.029314540357456672,0.0,0.07186712173444852,0.0,0.030542441924735837,0.0,0.05496499381966858,0.0,0.004674638951092073,0.0
1,BOE_WK1,,,6.287675378308606,0.6670035477999409,0.0,2.7468298455398247e-13,0.0,0.03637647935992276,0.0,0.054090286204834866,0.0,0.08753065496586888,0.0,0.051651709494326285,0.0,0.10334732217483171,0.0
2,BOE_WK2,,,7.285404884277162,0.6214216376376137,0.0,5.13678850867423e-13,0.0,0.03075134334631937,0.0,0.059094557348190725,0.0,0.08649203363533949,0.0,0.05010191798454612,0.0,0.15213851004747678,0.0
3,BOE_WK3,,,6.49775410334312,0.6521916652619388,0.0,2.308008248973832e-15,0.0,0.03569985445128057,0.0,0.056932381131278985,0.0,0.09095516248048109,0.0,0.03954933368458333,0.0,0.12467160299043475,0.0
4,Control_WK0,,,4.555171663027252,0.7754302630716383,0.0,6.852408428714923e-12,0.0,0.018864533427484394,0.0,0.06621155491744059,0.0,0.06455435042599442,0.0,0.030772416882337433,0.0,0.04416688126825234,0.0
5,Control_WK1,,,5.513153890795666,0.768950612391601,0.0,5.251843271534008e-14,0.0,0.03588057305761093,0.0,0.05242090879396155,0.0,0.07745851613021362,0.0,0.01545494041911499,0.0,0.04983444920744533,0.0
6,Control_WK2,,,5.389752030315364,0.76621155192768,0.0,8.077341308102493e-14,0.0,0.03445810087708036,0.0,0.04982099513097147,0.0,0.07974708732174764,0.0,0.01686542336947931,0.0,0.05289684137296058,0.0
7,Control_WK3,,,4.616479524686778,0.770890450099362,0.0,2.1438793114820663e-13,0.0,0.025476868462413645,0.0,0.04985502099965747,0.0,0.07535629974921251,0.0,0.023509892995966595,0.0,0.054911467693173344,0.0
