index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm
0,ReTa03,0,0.0,1.0304517304881926,0.12617715050545214
1,ReTa03,1,10.013,0.6090309981159582,0.3592763913892939
2,ReTa03,2,20.026,0.6212504492943166,0.389947445857127
3,ReTa03,3,30.038,0.6135740449735853,0.3664958624091346
4,ReTa03,4,40.051,0.620639598669544,0.39626167055714223
5,ReTa03,5,50.064,0.6131912324974188,0.3765451881533337
6,ReTa03,6,60.077,0.6090653159401757,0.38089524781267686
7,ReTa03,7,70.09,0.6165558307678893,0.3878389889575814
8,ReTa03,8,80.103,0.6080321849839014,0.36093746830277823
9,ReTa03,9,90.115,0.6087179293632528,0.38280643640837114
10,ReTa04,0,0.0,1.1812901392541901,0.14932800194765644
11,ReTa04,1,10.013,0.6289934247439917,0.3055320473645853
12,ReTa04,2,20.026,0.6366848399593344,0.340641562962137
13,ReTa04,3,30.039,0.6378465890643213,0.3389757096260677
14,ReTa04,4,40.051,0.6407921212710646,0.3545227289266805
15,ReTa04,5,50.063,0.6367258171973241,0.3669098720020786
16,ReTa04,6,60.076,0.6344249562433857,0.3723660805331108
17,ReTa04,7,70.089,0.6418040006203974,0.38895245524810335
18,ReTa04,8,80.101,0.6375650329890402,0.36023878277076016
19,ReTa04,9,90.114,0.6244937426840108,0.31442552884912045
