index,sample,etchlevel,etchtime,Re_metal_frac,Re_metal_err,ReO2_frac,ReO2_err,ReO3_frac,ReO3_err,Re2O7_frac,Re2O7_err
0,ReTa03,0,0.0,0.7241959499349043,0.021534006971972313,0.1857364532068375,0.03180073621462575,0.05523679847824542,0.022214084354696195,0.034830798380012795,0.006591753590604534
1,ReTa03,1,10.013,0.8274028900197686,0.028585068398578592,0.08995483775270154,0.08738954424512445,0.034362863999402644,0.07091272130326418,0.04827940822812719,0.00772507699923673
2,ReTa03,2,20.026,0.8242317465454618,0.02993769199683291,0.09050377720233257,0.09473685138178602,0.035175692075296555,0.07722596172087509,0.05008878417690914,0.007926597222335807
3,ReTa03,3,30.038,0.826222612670414,0.028794620955506858,0.09012464220314986,0.08908410207605195,0.03561213094954165,0.07245393039488715,0.04804061417689456,0.007686708033041814
4,ReTa03,4,40.051,0.8243900111559964,0.029766610823372598,0.09077048431778133,0.09624388628987376,0.035356097187683115,0.07854999185660756,0.049483407338539204,0.007756867786165964
5,ReTa03,5,50.064,0.8263220081637456,0.02844702588868629,0.08991628292639946,0.09110722794319114,0.03536032191434148,0.07498168866641887,0.048401386995513516,0.007743623570080588
6,ReTa03,6,60.077,0.8273939685948469,0.028496642616921385,0.08959086962504373,0.09224959795095956,0.035362740964104925,0.07574749770945863,0.047652420816004355,0.007610790109273011
7,ReTa03,7,70.09,0.8254487750958118,0.02890654159928332,0.08979567708051972,0.09379309812819228,0.03528577158648227,0.07732312187215837,0.049469776237186076,0.007843730031161882
8,ReTa03,8,80.103,0.8276625842724434,0.027582535047502254,0.08967771539007428,0.0873548654261619,0.035522888455171854,0.07180125210844228,0.04713681188231044,0.007577339219695535
9,ReTa03,9,90.115,0.827484280871437,0.028228126954856665,0.08909609554192222,0.09243635711779442,0.03545098893169252,0.07645441948372073,0.04796863465494828,0.0077261943305251555
10,ReTa04,0,0.0,0.6902110093766755,0.021091017088941708,0.20015040079052382,0.03628321796369466,0.07211900320527458,0.02866241749728296,0.037519586627526254,0.007376990531667841
11,ReTa04,1,10.013,0.8222280042494717,0.02313708429245959,0.08582746389929187,0.07274538606019519,0.03722612953868823,0.06211498762249487,0.05471840231254823,0.007803626124458918
12,ReTa04,2,20.026,0.8202419615320469,0.024600800912839355,0.0866811864302436,0.08123147220548489,0.03614407293022662,0.06925595368805326,0.0569327791074829,0.008009544702672358
13,ReTa04,3,30.039,0.8199423569033899,0.02468511116161667,0.08642030227055973,0.08080368010138722,0.03641425451179326,0.06893504703958833,0.05722308631425704,0.008085467954424908
14,ReTa04,4,40.051,0.8191831737711361,0.024811309965461832,0.08686711228037945,0.08448125049327902,0.03638785760167947,0.07221715460926097,0.05756185634680488,0.00799068665850719
15,ReTa04,5,50.063,0.8202313921889879,0.02469919963275279,0.08585452120096282,0.08705719398772821,0.03682243985625438,0.0751855983657961,0.05709164675379489,0.008089966974584865
16,ReTa04,6,60.076,0.8208250485143398,0.025056586451183263,0.08573841955921493,0.08849187748228587,0.03658048433873281,0.07614815774990806,0.05685604758771252,0.008050812566481973
17,ReTa04,7,70.089,0.8189225180230828,0.02565131863027585,0.08533156730014758,0.09227278803534202,0.037274881473248186,0.07977581413178503,0.05847103320352136,0.008280013385439105
18,ReTa04,8,80.101,0.8200149586002661,0.025177667656003284,0.08664164643887291,0.08601976767026312,0.03520395689826815,0.07318524023421756,0.05813943806259293,0.007962456481885127
19,ReTa04,9,90.114,0.8233919046925772,0.023423494155816363,0.0856336042187047,0.07490958421278024,0.03690973519916949,0.06389518207697267,0.05406475588954871,0.007758807195447486
