sample,etchlevel,etchtime,depth_order,oxide_thickness_nm,thickness_err_nm
ReTa03,0,0.0,0,5.016917325969406,0.0
ReTa03,1,10.013,1,4.8820614744617385,1.4527937886141076
ReTa03,2,20.026,2,4.940106993222056,1.4749267368668544
ReTa03,3,30.038,3,4.82590217323976,1.3835374309301982
ReTa03,4,40.051,4,4.6576424548607065,1.2193409409838505
ReTa03,5,50.064,5,4.755656994920084,1.3522482947384877
ReTa03,6,60.077,6,4.634585114746091,1.2653546228493335
ReTa03,7,70.09,7,4.645033364993701,1.288887150199626
ReTa03,8,80.103,8,4.6573598525228,1.302222089766083
ReTa03,9,90.115,9,4.667345062948012,1.3028769913142035
ReTa04,0,0.0,0,5.067115500565735,0.0
ReTa04,1,10.013,1,4.789110309769246,1.9054245141053379
ReTa04,2,20.026,2,4.644187471010526,1.8195863194887774
ReTa04,3,30.039,3,4.542111644181599,1.7413367979732144
ReTa04,4,40.051,4,4.509171811999692,1.6504961780161707
ReTa04,5,50.063,5,4.602148685474794,1.735012422734668
ReTa04,6,60.076,6,4.485312395289879,1.5414082662389461
ReTa04,7,70.089,7,4.57102534922438,1.8099730526116236
ReTa04,8,80.101,8,4.469738705103888,1.5999678746648538
ReTa04,9,90.114,9,4.498645842867069,1.701473853325657
