index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
3,BOE_WK3,,,Re4f,ReO2 (Re4+),7/2,42.2,41.82364335451263,0.050890298001604,-0.3763566454873697
3,BOE_WK3,,,Re4f,ReO2 (Re4+),5/2,44.62,44.250673076258884,0.05212791398309002,-0.369326923741113
3,BOE_WK3,,,Re4f,ReO3 (Re6+),7/2,43.1,43.19587551632251,0.05388377200768843,0.09587551632250779
3,BOE_WK3,,,Re4f,ReO3 (Re6+),5/2,45.52,45.62290523806876,0.05404857770245974,0.1029052380687574
3,BOE_WK3,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.92203810440157,0.007015129704914699,0.4220381044015724
3,BOE_WK3,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.349067826147824,0.00763639739907158,0.429067826147822
4,Control_WK0,,,Re4f,Re metal,7/2,40.35,40.46018458173993,0.0019413301701383834,0.1101845817399294
4,Control_WK0,,,Re4f,Re metal,5/2,42.77,42.8854614274403,0.002822282261149893,0.11546142744029453
4,Control_WK0,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.68018458173993,0.0019413301697731164,0.1101845817399294
4,Control_WK0,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.1054614274403,0.002822282261149893,0.11546142744029453
4,Control_WK0,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.910184581739934,0.0019413301697731164,0.1101845817399365
4,Control_WK0,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.3354614274403,0.002822282261149893,0.11546142744030163
4,Control_WK0,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.19018458173993,0.0019413301697731164,0.1101845817399294
4,Control_WK0,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.615461427440295,0.002822282067583063,0.11546142744029453
4,Control_WK0,,,Re4f,ReO2 (Re4+),7/2,42.2,41.8000000000003,1.0482537896536085e-07,-0.39999999999970015
4,Control_WK0,,,Re4f,ReO2 (Re4+),5/2,44.62,44.22527684570067,0.002630170941318036,-0.3947231542993279
4,Control_WK0,,,Re4f,ReO3 (Re6+),7/2,43.1,43.00778326458708,0.06269764806345372,-0.09221673541291864
4,Control_WK0,,,Re4f,ReO3 (Re6+),5/2,45.52,45.43306011028745,0.0625836338102298,-0.08693988971255351
4,Control_WK0,,,Re4f,Re2O7 (Re7+),7/2,45.5,46.109921936795175,0.018279862943604803,0.6099219367951747
4,Control_WK0,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.53519878249554,0.018231021971728215,0.6151987824955398
5,Control_WK1,,,Re4f,Re metal,7/2,40.35,40.44867366698418,0.002662635915893174,0.09867366698417612
5,Control_WK1,,,Re4f,Re metal,5/2,42.77,42.872965713040074,0.003402024541713439,0.10296571304007074
5,Control_WK1,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.668673666984176,0.0026626359197206495,0.09867366698417612
5,Control_WK1,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09296571304007,0.003402024541713439,0.10296571304007074
5,Control_WK1,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89867366698418,0.0026626359197206495,0.09867366698418323
5,Control_WK1,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32296571304008,0.003402024541713439,0.10296571304007784
5,Control_WK1,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.178673666984174,0.0026626359197206495,0.09867366698417612
5,Control_WK1,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60296571304008,0.003402024541713439,0.10296571304007784
5,Control_WK1,,,Re4f,ReO2 (Re4+),7/2,42.2,41.80000000000325,3.4192980321097544e-07,-0.3999999999967514
5,Control_WK1,,,Re4f,ReO2 (Re4+),5/2,44.62,44.22429204605915,0.0028435978730087384,-0.3957079539408497
5,Control_WK1,,,Re4f,ReO3 (Re6+),7/2,43.1,42.94553868897969,0.05764984221020743,-0.15446131102031302
5,Control_WK1,,,Re4f,ReO3 (Re6+),5/2,45.52,45.36983073503559,0.056590310908789083,-0.1501692649644113
5,Control_WK1,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.973405290849286,0.01762011028988734,0.4734052908492856
5,Control_WK1,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.39769733690518,0.018085881174134472,0.47769733690518024
6,Control_WK2,,,Re4f,Re metal,7/2,40.35,40.452489349080885,0.0026874680342353747,0.10248934908088358
6,Control_WK2,,,Re4f,Re metal,5/2,42.77,42.87519735027833,0.003448821691608941,0.10519735027832411
6,Control_WK2,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.672489349080884,0.0026874680360282725,0.10248934908088358
6,Control_WK2,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.095197350278326,0.003448821691608941,0.10519735027832411
6,Control_WK2,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.90248934908089,0.0026874680360282725,0.10248934908089069
6,Control_WK2,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32519735027833,0.003448821691608941,0.10519735027833121
6,Control_WK2,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.18248934908088,0.0026874680360282725,0.10248934908088358
6,Control_WK2,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60519735027833,0.003448821691608941,0.10519735027833121
6,Control_WK2,,,Re4f,ReO2 (Re4+),7/2,42.2,41.8,8.386962285813732e-09,-0.4000000000000057
6,Control_WK2,,,Re4f,ReO2 (Re4+),5/2,44.62,44.22270800119745,0.0028845259075980637,-0.39729199880255095
6,Control_WK2,,,Re4f,ReO3 (Re6+),7/2,43.1,42.961750310457305,0.05647243050845039,-0.13824968954269679
6,Control_WK2,,,Re4f,ReO3 (Re6+),5/2,45.52,45.384458311654754,0.055338243451800245,-0.13554168834524916
6,Control_WK2,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.95909555985325,0.01774871222108544,0.4590955598532531
6,Control_WK2,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.3818035610507,0.018294320055387055,0.46180356105070075
7,Control_WK3,,,Re4f,Re metal,7/2,40.35,40.44915266721131,0.002118112054197635,0.09915266721130678
7,Control_WK3,,,Re4f,Re metal,5/2,42.77,42.87149786468949,0.0029415986280833164,0.10149786468948463
7,Control_WK3,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.66915266721131,0.002118112056336332,0.09915266721130678
7,Control_WK3,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09149786468949,0.0029415986280833164,0.10149786468948463
7,Control_WK3,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89915266721131,0.002118112056336332,0.09915266721131388
7,Control_WK3,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32149786468949,0.0029415986280833164,0.10149786468949173
7,Control_WK3,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.179152667211305,0.002118112056336332,0.09915266721130678
7,Control_WK3,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.601497864689485,0.0029415986280833164,0.10149786468948463
7,Control_WK3,,,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000026,2.7200008596445663e-08,-0.39999999999997726
7,Control_WK3,,,Re4f,ReO2 (Re4+),5/2,44.62,44.222345197478205,0.0027286698369497235,-0.3976548025217923
7,Control_WK3,,,Re4f,ReO3 (Re6+),7/2,43.1,42.98369192781598,0.05328051000277124,-0.11630807218401884
7,Control_WK3,,,Re4f,ReO3 (Re6+),5/2,45.52,45.40603712529416,0.05238100858050504,-0.11396287470584099
7,Control_WK3,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.96096801093691,0.016257272752957765,0.4609680109369094
7,Control_WK3,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.38331320841509,0.01672706095357415,0.4633132084150873
