index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm,group,week,baseline_value,delta_from_wk0
0,BOE_WK0,,,1.3978405555470337,0.0,BOE,0,1.3978405555470337,0.0
1,BOE_WK1,,,2.1906187438913665,0.0,BOE,1,1.3978405555470337,0.7927781883443328
2,BOE_WK2,,,2.4094316978678645,0.05330384023905847,BOE,2,1.3978405555470337,1.0115911423208308
3,BOE_WK3,,,2.3806833395307345,0.0,BOE,3,1.3978405555470337,0.9828427839837008
4,Control_WK0,,,3.3995113044656824,0.03732836947444153,Control,0,3.3995113044656824,0.0
5,Control_WK1,,,3.37158139676479,0.1982304004230038,Control,1,3.3995113044656824,-0.027929907700892542
6,Control_WK2,,,3.339192458777389,0.18638197943030463,Control,2,3.3995113044656824,-0.060318845688293266
7,Control_WK3,,,3.422566558912497,0.21642763776062257,Control,3,3.3995113044656824,0.023055254446814555
