element,x0,x0_err,k,k_err,tau,tau_err,redchi
Ta,1.3977694370669203,0.9999996047619701,0.189255204129668,1.3383396143747301,0.013512764289679282,0.48087621835806,0.006400591838245447
Re,0.6159797978904334,0.9999999979320554,0.10313242638732281,1.279542145382723,0.0010000000000057645,0.09385555261209798,0.019046980310426787
