element,species,spin,group,week,mean,std,count,sem
Re4f,Redp1 (Reδ+1),7/2,Control,1,0.09867366698417612,,1,0.0
Re4f,Redp1 (Reδ+1),7/2,Control,2,0.10248934908088358,,1,0.0
Re4f,Redp1 (Reδ+1),7/2,Control,3,0.09915266721130678,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,BOE,0,0.11709074186437363,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,BOE,1,0.10828930151961913,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,BOE,2,0.10967708792040298,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,BOE,3,0.10208888357806956,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,Control,0,0.11546142744030163,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,Control,1,0.10296571304007784,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,Control,2,0.10519735027833121,,1,0.0
Re4f,Redp2 (Reδ+2),5/2,Control,3,0.10149786468949173,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,BOE,0,0.10999137698868822,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,BOE,1,0.10027197813364808,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,BOE,2,0.10289767888305335,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,BOE,3,0.09505916183181995,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,Control,0,0.1101845817399365,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,Control,1,0.09867366698418323,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,Control,2,0.10248934908089069,,1,0.0
Re4f,Redp2 (Reδ+2),7/2,Control,3,0.09915266721131388,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,BOE,0,0.11709074186437363,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,BOE,1,0.10828930151961202,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,BOE,2,0.10967708792038877,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,BOE,3,0.10208888357806245,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,Control,0,0.11546142744029453,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,Control,1,0.10296571304007784,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,Control,2,0.10519735027833121,,1,0.0
Re4f,Redp3 (Reδ+3),5/2,Control,3,0.10149786468948463,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,BOE,0,0.10999137698868111,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,BOE,1,0.10027197813364097,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,BOE,2,0.10289767888304624,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,BOE,3,0.09505916183181284,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,Control,0,0.1101845817399294,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,Control,1,0.09867366698417612,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,Control,2,0.10248934908088358,,1,0.0
Re4f,Redp3 (Reδ+3),7/2,Control,3,0.09915266721130678,,1,0.0
