index,sample,etchlevel,etchtime,sample_type,species,expected_amp,fitted_amp,stderr,delta
0,BOE_WK0,,,BOE samples,Ta metal,0.4,0.4334695375779396,0.0,0.03346953757793958
0,BOE_WK0,,,BOE samples,Ta interface,0.1,0.10381708067165034,0.0,0.003817080671650333
0,BOE_WK0,,,BOE samples,Ta alloy,0.15,5.763005665551795e-16,0.0,-0.1499999999999994
0,BOE_WK0,,,BOE samples,Ta+1,0.05,0.10169277277627041,0.0,0.05169277277627041
0,BOE_WK0,,,BOE samples,Ta+3,0.05,0.04090415909793458,0.0,-0.009095840902065423
0,BOE_WK0,,,BOE samples,Ta+5 (Ta2O5),0.25,0.3201164498762046,0.0,0.07011644987620458
1,BOE_WK1,,,BOE samples,Ta metal,0.4,0.3026341005606076,0.0,-0.09736589943939244
1,BOE_WK1,,,BOE samples,Ta interface,0.1,0.10528354805751468,0.0,0.005283548057514673
1,BOE_WK1,,,BOE samples,Ta alloy,0.15,1.1922598355201314e-13,0.0,-0.14999999999988076
1,BOE_WK1,,,BOE samples,Ta+1,0.05,0.038952624787641575,0.0,-0.011047375212358428
1,BOE_WK1,,,BOE samples,Ta+3,0.05,0.054778381666107205,0.0,0.004778381666107202
1,BOE_WK1,,,BOE samples,Ta+5 (Ta2O5),0.25,0.4983513449280098,0.0,0.2483513449280098
2,BOE_WK2,,,BOE samples,Ta metal,0.4,0.27504533539387016,0.008284804772989676,-0.12495466460612986
2,BOE_WK2,,,BOE samples,Ta interface,0.1,0.10522270341691073,1.7690571369292523e-08,0.005222703416910723
2,BOE_WK2,,,BOE samples,Ta alloy,0.15,0.0010273824225621661,0.0034145819607035366,-0.14897261757743782
2,BOE_WK2,,,BOE samples,Ta+1,0.05,0.032297220792172676,0.0064452721583852885,-0.017702779207827327
2,BOE_WK2,,,BOE samples,Ta+3,0.05,0.05110492978600261,0.003463411270726277,0.0011049297860026078
2,BOE_WK2,,,BOE samples,Ta+5 (Ta2O5),0.25,0.5353024281884817,0.003970316467618151,0.2853024281884817
3,BOE_WK3,,,BOE samples,Ta metal,0.4,0.2786777816607161,0.0,-0.12132221833928392
3,BOE_WK3,,,BOE samples,Ta interface,0.1,0.10554323982086725,0.0,0.005543239820867241
3,BOE_WK3,,,BOE samples,Ta alloy,0.15,1.6990597566689154e-14,0.0,-0.149999999999983
3,BOE_WK3,,,BOE samples,Ta+1,0.05,0.040072751663846794,0.0,-0.009927248336153209
3,BOE_WK3,,,BOE samples,Ta+3,0.05,0.056660068530560964,0.0,0.006660068530560961
3,BOE_WK3,,,BOE samples,Ta+5 (Ta2O5),0.25,0.5190461583239919,0.0,0.2690461583239919
4,Control_WK0,,,Control samples,Ta metal,0.2,0.17938680985821123,0.0031521164056774152,-0.02061319014178878
4,Control_WK0,,,Control samples,Ta interface,0.05,0.10609443019830177,7.402251494771047e-09,0.056094430198301765
4,Control_WK0,,,Control samples,Ta alloy,0.05,0.014369125936327751,0.0027148636232396644,-0.035630874063672255
4,Control_WK0,,,Control samples,Ta+1,0.05,0.01894962221484462,0.0030840927226224108,-0.031050377785155382
4,Control_WK0,,,Control samples,Ta+3,0.1,0.03043073995897099,0.0024504839549870953,-0.06956926004102901
4,Control_WK0,,,Control samples,Ta+5 (Ta2O5),0.55,0.6507692718333435,0.003066696968670618,0.1007692718333435
5,Control_WK1,,,Control samples,Ta metal,0.2,0.18270348467505354,0.018412890472895186,-0.01729651532494647
5,Control_WK1,,,Control samples,Ta interface,0.05,0.10476254306889018,0.018215389822315325,0.05476254306889018
5,Control_WK1,,,Control samples,Ta alloy,0.05,0.009506832851245827,0.003230838240056276,-0.04049316714875417
5,Control_WK1,,,Control samples,Ta+1,0.05,0.01639142350186011,0.0036528161240535176,-0.03360857649813989
5,Control_WK1,,,Control samples,Ta+3,0.1,0.0330193720309532,0.00275989504373879,-0.0669806279690468
5,Control_WK1,,,Control samples,Ta+5 (Ta2O5),0.55,0.6536163438719972,0.003746624393118837,0.10361634387199714
6,Control_WK2,,,Control samples,Ta metal,0.2,0.18654397376267454,0.017762124194107186,-0.013456026237325475
6,Control_WK2,,,Control samples,Ta interface,0.05,0.09528376916195494,0.017460084930482518,0.04528376916195494
6,Control_WK2,,,Control samples,Ta alloy,0.05,0.012159787258898158,0.0032423704426887304,-0.037840212741101845
6,Control_WK2,,,Control samples,Ta+1,0.05,0.01889584235266939,0.003436914917719597,-0.031104157647330613
6,Control_WK2,,,Control samples,Ta+3,0.1,0.030584423353746087,0.00263209661723335,-0.06941557664625392
6,Control_WK2,,,Control samples,Ta+5 (Ta2O5),0.55,0.6565322041100569,0.0037602292865103167,0.10653220411005682
7,Control_WK3,,,Control samples,Ta metal,0.2,0.17872437766905924,0.01952610968985016,-0.02127562233094077
7,Control_WK3,,,Control samples,Ta interface,0.05,0.10513634057960478,0.019159904284716894,0.05513634057960477
7,Control_WK3,,,Control samples,Ta alloy,0.05,0.010371355501460476,0.0031841273184414396,-0.03962864449853953
7,Control_WK3,,,Control samples,Ta+1,0.05,0.01687140179987537,0.0035328056102961634,-0.033128598200124634
7,Control_WK3,,,Control samples,Ta+3,0.1,0.032867799687151616,0.0027886383062192895,-0.06713220031284839
7,Control_WK3,,,Control samples,Ta+5 (Ta2O5),0.55,0.6560287247628485,0.0037487069511718957,0.10602872476284841
