index,sample,etchlevel,etchtime,redchi,Re_metal_frac,Re_metal_err,Redp1_frac,Redp1_err,Redp2_frac,Redp2_err,Redp3_frac,Redp3_err,ReO2_frac,ReO2_err,ReO3_frac,ReO3_err,Re2O7_frac,Re2O7_err
0,BOE_WK0,,,7.664966957948279,0.7337711052661411,0.002516957527400127,4.411545854692503e-15,1.2660062825574367e-08,1.591794896023068e-15,8.064629768620352e-09,0.11159696566946953,0.0036596941197720775,0.05330353012144776,0.005691983718936319,0.09838604268984077,0.003920911244077296,0.002942356253094788,0.0008915979101356046
1,BOE_WK1,,,7.181098372902325,0.6111838429381011,0.007797966712212164,8.350483658177007e-12,7.214619092551563e-07,0.018106893122962847,0.009119791669521558,0.06281853321990209,0.007932337630855253,0.12437162520407435,0.0037631617041156565,0.08640297790681672,0.003883994292307814,0.09711612759979248,0.001394385159537856
2,BOE_WK2,,,8.032929830226882,0.5729151186979886,0.008785603210579244,1.3488750078319644e-11,1.1700389574405287e-06,0.015343848176104641,0.010466172255008465,0.06242710808437836,0.008932860560529315,0.11718898619045158,0.0037775432036728043,0.08776105167769507,0.004492481823798866,0.14436388715989298,0.0016551632460778374
3,BOE_WK3,,,7.76935052146543,0.5977998926472826,0.009044298073776151,1.817591197818154e-15,1.2584015017442227e-08,0.016238822425320446,0.010672139266746877,0.06548165297501604,0.00920557723948117,0.11841339038548959,0.004092395626485252,0.08437971209833729,0.004919721034411152,0.11768652946855214,0.0015787574880277953
4,Control_WK0,,,5.151220858195232,0.7188729339742559,0.0026574251152992434,1.0802248143064476e-14,2.222501312595857e-08,1.8835852854503183e-14,3.1859205163669506e-08,0.09565592180128275,0.004923297876196696,0.06103599037018667,0.008949242283333355,0.08320782224558931,0.004767533830984996,0.041227331608655805,0.001422827381525135
5,Control_WK1,,,5.82424190814622,0.717101365438441,0.008164811046076912,2.1029090215494143e-12,4.3788015602557937e-07,0.004786852705155347,0.010088017853228826,0.10079159684774808,0.00668690014471667,0.04916992017188756,0.006466868498798009,0.08429382308604315,0.0037920728380432724,0.043856441748621786,0.0015884224807496863
6,Control_WK2,,,5.742204169063853,0.7143004844119797,0.008197249858619379,8.377348049599325e-14,8.824547290061873e-08,0.0032758187622841982,0.010166844856700276,0.10217570373032994,0.006730027773978283,0.04750132543965335,0.006272778367447423,0.08621212553911992,0.0037029328872240333,0.04653454211654914,0.001628830154592252
7,Control_WK3,,,5.121252608151424,0.7140198836230104,0.002889965805175459,7.296946507272533e-15,1.9518859160447584e-08,8.384690085996388e-15,1.86412219007232e-08,0.10224629231257797,0.004178421287002926,0.04969093156898785,0.005731173687251158,0.08468667080961156,0.0036053530902894915,0.04935622168579658,0.0015373368776833893
