index,sample,etchlevel,etchtime,Re_metal_frac,Re_metal_err,ReO2_frac,ReO2_err,ReO3_frac,ReO3_err,Re2O7_frac,Re2O7_err
0,BOE_WK0,,,0.6988096436698309,0.009041029381338783,0.18384230210080504,0.0068653356954064045,0.05261595207553496,0.010672707701752765,0.0647321021538291,0.0064639469777551814
1,BOE_WK1,,,0.5980760444398433,0.0057761405210276975,0.18172589073524453,0.005009929347738994,0.06374049810789985,0.006890394152553023,0.15645756671701233,0.004231510349768394
2,BOE_WK2,,,0.5511957168646612,0.004753278526176653,0.17281421937344416,0.004368905091698381,0.07343693226332702,0.005804692709854119,0.20255313149856766,0.0038182652981017286
3,BOE_WK3,,,0.5751860449293816,0.005278538753527195,0.17832225300675597,0.004996047282228786,0.06816952478270086,0.007533491286879451,0.17832217728116156,0.0044005018192797216
4,Control_WK0,,,0.6625080402162786,0.008604338206670066,0.1674841407055969,0.006020018715014072,0.060210307060616204,0.011276196722750636,0.10979751201750833,0.005884756446933112
5,Control_WK1,,,0.655728852943141,0.007595710363597015,0.1655103345817357,0.005702309295308203,0.058900172291055375,0.00920685746633009,0.11986064018406799,0.005198119965630103
6,Control_WK2,,,0.6518560610571024,0.007534062423945716,0.16449418047571213,0.005695282830314339,0.060484510237115714,0.009101117237588923,0.12316524823006979,0.005245270196057291
7,Control_WK3,,,0.6514170276479785,0.007650030421280482,0.16407429901037177,0.005784898910383114,0.0591843158247392,0.009168007551498276,0.12532435751691054,0.005290398897122927
