element,species,spin,group,weighted_mean_delta_eV,weighted_stderr_eV,flagged
Re4f,Re metal,5/2,BOE,0.22724178890973512,0.05,False
Re4f,Re metal,5/2,Control,0.2346893610682681,0.05,False
Re4f,Re metal,7/2,BOE,0.21510085040282512,0.05,False
Re4f,Re metal,7/2,Control,0.21930226551656773,0.05,False
Re4f,Re2O7 (Re7+),5/2,BOE,0.28521073254268947,0.05622242714231252,False
Re4f,Re2O7 (Re7+),5/2,Control,0.38787053706083796,0.05,False
Re4f,Re2O7 (Re7+),7/2,BOE,0.27491193066162023,0.05618244617358312,False
Re4f,Re2O7 (Re7+),7/2,Control,0.3724834415091305,0.05,False
Re4f,ReO2 (Re4+),5/2,BOE,-0.48785906149307934,0.05,False
Re4f,ReO2 (Re4+),5/2,Control,-0.4846129044482961,0.05,False
Re4f,ReO2 (Re4+),7/2,BOE,-0.49999999999998934,0.05,False
Re4f,ReO2 (Re4+),7/2,Control,-0.49999999999999467,0.05,False
Re4f,ReO3 (Re6+),5/2,BOE,0.4329526472026384,0.05,False
Re4f,ReO3 (Re6+),5/2,Control,0.49827606909185107,0.05,False
Re4f,ReO3 (Re6+),7/2,BOE,0.42081170869572126,0.05,False
Re4f,ReO3 (Re6+),7/2,Control,0.48288897354014537,0.05,False
Ta4f,Ta alloy,5/2,BOE,0.4476182420167305,0.05,True
Ta4f,Ta alloy,5/2,Control,0.8177702517842129,0.06974744983512178,True
Ta4f,Ta alloy,7/2,BOE,0.43761824201672894,0.05,True
Ta4f,Ta alloy,7/2,Control,0.8077702517842112,0.06974744983512178,True
Ta4f,Ta interface,5/2,BOE,0.34546386415458036,0.05,False
Ta4f,Ta interface,5/2,Control,0.32357725754070543,0.05,False
Ta4f,Ta interface,7/2,BOE,0.33546386415458235,0.05,False
Ta4f,Ta interface,7/2,Control,0.3135772575407074,0.05,False
Ta4f,Ta metal,5/2,BOE,0.44193169052668857,0.05,False
Ta4f,Ta metal,5/2,Control,0.4209158560585431,0.05,False
Ta4f,Ta metal,7/2,BOE,0.431931690526687,0.05,False
Ta4f,Ta metal,7/2,Control,0.4109158560585415,0.05,False
Ta4f,Ta+1,5/2,BOE,-0.1642683278483758,0.052797064637496095,True
Ta4f,Ta+1,5/2,Control,-0.6829192966740042,0.0554898581357956,True
Ta4f,Ta+1,7/2,BOE,-0.17426832782268617,0.0527970646444543,True
Ta4f,Ta+1,7/2,Control,-0.6929192966459337,0.05548985812671552,True
Ta4f,Ta+3,5/2,BOE,-0.6273096152940623,0.05,False
Ta4f,Ta+3,5/2,Control,-0.6273823400704455,0.05,False
Ta4f,Ta+3,7/2,BOE,-0.6373096152940603,0.05,False
Ta4f,Ta+3,7/2,Control,-0.6373823400704435,0.05,False
Ta4f,Ta+5 (Ta2O5),5/2,BOE,-0.8998358583844661,0.05,False
Ta4f,Ta+5 (Ta2O5),5/2,Control,-0.8093374610733067,0.05,False
Ta4f,Ta+5 (Ta2O5),7/2,BOE,-0.9098358583844676,0.05,False
Ta4f,Ta+5 (Ta2O5),7/2,Control,-0.8193374610733083,0.05,False
