index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
0,ReTa03,0,0.0,Re metal,0.12,0.2137675438948235,0.0029340512835381014,0.0937675438948235
0,ReTa03,0,0.0,ReO2 (Re4+),0.25,0.5999999999999992,6.32458756316331e-09,0.3499999999999992
0,ReTa03,0,0.0,ReO3 (Re6+),0.25,0.5654576625730258,0.05998618375947992,0.31545766257302577
0,ReTa03,0,0.0,Re2O7 (Re7+),0.3,0.999999999999999,1.0384802640345433e-08,0.6999999999999991
1,ReTa03,1,10.013,Re metal,0.12,0.21047685724544182,0.0033159013072465724,0.09047685724544183
1,ReTa03,1,10.013,ReO2 (Re4+),0.25,0.6,1.0796818481499075e-09,0.35
1,ReTa03,1,10.013,ReO3 (Re6+),0.25,0.6240314824002225,0.16992310169099661,0.37403148240022255
1,ReTa03,1,10.013,Re2O7 (Re7+),0.3,0.999999999999999,9.948816854569353e-09,0.6999999999999991
2,ReTa03,2,20.026,Re metal,0.12,0.211192059197812,0.0034460793212011663,0.09119205919781201
2,ReTa03,2,20.026,ReO2 (Re4+),0.25,0.6,8.369322110749801e-18,0.35
2,ReTa03,2,20.026,ReO3 (Re6+),0.25,0.6257758080041822,0.1791919958001414,0.3757758080041822
2,ReTa03,2,20.026,Re2O7 (Re7+),0.3,0.9999999999999974,1.549276216837304e-08,0.6999999999999975
3,ReTa03,3,30.038,Re metal,0.12,0.21097604625695995,0.003307650061737384,0.09097604625695996
3,ReTa03,3,30.038,ReO2 (Re4+),0.25,0.6,8.05275045493015e-18,0.35
3,ReTa03,3,30.038,ReO3 (Re6+),0.25,0.6297284681935436,0.17090399383598195,0.37972846819354356
3,ReTa03,3,30.038,Re2O7 (Re7+),0.3,0.9999999999999996,5.69563730775426e-09,0.6999999999999995
4,ReTa03,4,40.051,Re metal,0.12,0.21128440974145513,0.003387882185783462,0.09128440974145513
4,ReTa03,4,40.051,ReO2 (Re4+),0.25,0.6,8.402874978519763e-18,0.35
4,ReTa03,4,40.051,ReO3 (Re6+),0.25,0.6197177435535732,0.1755472720902387,0.36971774355357323
4,ReTa03,4,40.051,Re2O7 (Re7+),0.3,0.9999999999999999,2.802222609135359e-09,0.7
5,ReTa03,5,50.064,Re metal,0.12,0.21132334703799524,0.003331112022699316,0.09132334703799525
5,ReTa03,5,50.064,ReO2 (Re4+),0.25,0.6,8.131087389651965e-18,0.35
5,ReTa03,5,50.064,ReO3 (Re6+),0.25,0.6388343732921276,0.17956282138560622,0.38883437329212756
5,ReTa03,5,50.064,Re2O7 (Re7+),0.3,0.9999999999999997,5.53249941502551e-09,0.6999999999999997
6,ReTa03,6,60.077,Re metal,0.12,0.21155853874470132,0.0032886725554346296,0.09155853874470132
6,ReTa03,6,60.077,ReO2 (Re4+),0.25,0.6,8.012148342166857e-18,0.35
6,ReTa03,6,60.077,ReO3 (Re6+),0.25,0.629479367109423,0.17359956671241694,0.379479367109423
6,ReTa03,6,60.077,Re2O7 (Re7+),0.3,1.0,1.6700126984867947e-10,0.7
7,ReTa03,7,70.09,Re metal,0.12,0.21174142215341027,0.003394530009505042,0.09174142215341027
7,ReTa03,7,70.09,ReO2 (Re4+),0.25,0.6,8.27763524379613e-18,0.35
7,ReTa03,7,70.09,ReO3 (Re6+),0.25,0.6365444509821285,0.1809975399132537,0.38654445098212853
7,ReTa03,7,70.09,Re2O7 (Re7+),0.3,1.0,9.003956335850775e-18,0.7
8,ReTa03,8,80.103,Re metal,0.12,0.21112575426367047,0.0032447326210164537,0.09112575426367048
8,ReTa03,8,80.103,ReO2 (Re4+),0.25,0.6,7.983376420147305e-18,0.35
8,ReTa03,8,80.103,ReO3 (Re6+),0.25,0.6348969880921614,0.17015143248599418,0.38489698809216144
8,ReTa03,8,80.103,Re2O7 (Re7+),0.3,1.0,9.007703015243913e-18,0.7
9,ReTa03,9,90.115,Re metal,0.12,0.2114424183149791,0.003320384218207541,0.0914424183149791
9,ReTa03,9,90.115,ReO2 (Re4+),0.25,0.6,8.085096179289324e-18,0.35
9,ReTa03,9,90.115,ReO3 (Re6+),0.25,0.6371877572277442,0.1768004286700003,0.38718775722774423
9,ReTa03,9,90.115,Re2O7 (Re7+),0.3,1.0,9.043751119130161e-18,0.7
10,ReTa04,0,0.0,Re metal,0.12,0.22045352234328458,0.003446664414869356,0.10045352234328458
10,ReTa04,0,0.0,ReO2 (Re4+),0.25,0.5999999999999999,2.5441879227095814e-09,0.34999999999999987
10,ReTa04,0,0.0,ReO3 (Re6+),0.25,0.17747141471562966,0.04816930704305376,-0.07252858528437034
10,ReTa04,0,0.0,Re2O7 (Re7+),0.3,0.9999999999999964,3.806202537152253e-08,0.6999999999999964
11,ReTa04,1,10.013,Re metal,0.12,0.20876699682902203,0.0031574811307973536,0.08876699682902203
11,ReTa04,1,10.013,ReO2 (Re4+),0.25,0.5999999999999996,6.314300881316364e-09,0.34999999999999964
11,ReTa04,1,10.013,ReO3 (Re6+),0.25,0.2382933436223828,0.07860877201223927,-0.011706656377617197
11,ReTa04,1,10.013,Re2O7 (Re7+),0.3,0.9999999999999998,3.4825828871373463e-09,0.6999999999999997
12,ReTa04,2,20.026,Re metal,0.12,0.208887327853545,0.0032971992799556114,0.088887327853545
12,ReTa04,2,20.026,ReO2 (Re4+),0.25,0.6,7.536383900058159e-10,0.35
12,ReTa04,2,20.026,ReO3 (Re6+),0.25,0.23735212282845375,0.07542515112832289,-0.012647877171546251
12,ReTa04,2,20.026,Re2O7 (Re7+),0.3,0.9999999999999999,2.861425960563872e-09,0.7
13,ReTa04,3,30.039,Re metal,0.12,0.20916815593264243,0.0033307501693769248,0.08916815593264243
13,ReTa04,3,30.039,ReO2 (Re4+),0.25,0.6,8.176967726653035e-18,0.35
13,ReTa04,3,30.039,ReO3 (Re6+),0.25,0.23245784819446447,0.07640996765566486,-0.017542151805535533
13,ReTa04,3,30.039,Re2O7 (Re7+),0.3,0.9999999999999984,1.197274323151339e-08,0.6999999999999984
14,ReTa04,4,40.051,Re metal,0.12,0.20923850275947878,0.003304884700625703,0.08923850275947878
14,ReTa04,4,40.051,ReO2 (Re4+),0.25,0.6,8.18591184139467e-18,0.35
14,ReTa04,4,40.051,ReO3 (Re6+),0.25,0.23897595920643488,0.07477350071389519,-0.011024040793565115
14,ReTa04,4,40.051,Re2O7 (Re7+),0.3,1.0,1.5974472498953172e-09,0.7
15,ReTa04,5,50.063,Re metal,0.12,0.20856409262364764,0.0032957952777005538,0.08856409262364764
15,ReTa04,5,50.063,ReO2 (Re4+),0.25,0.6,8.175586525818357e-18,0.35
15,ReTa04,5,50.063,ReO3 (Re6+),0.25,0.23964801867537655,0.07659412563098256,-0.01035198132462345
15,ReTa04,5,50.063,Re2O7 (Re7+),0.3,1.0,8.853767850096212e-18,0.7
16,ReTa04,6,60.076,Re metal,0.12,0.2092240660527478,0.003316620608509398,0.0892240660527478
16,ReTa04,6,60.076,ReO2 (Re4+),0.25,0.6,8.256407818999194e-18,0.35
16,ReTa04,6,60.076,ReO3 (Re6+),0.25,0.23929140875461397,0.07744770705464689,-0.010708591245386034
16,ReTa04,6,60.076,Re2O7 (Re7+),0.3,1.0,8.933455567419918e-18,0.7
17,ReTa04,7,70.089,Re metal,0.12,0.20932050068854008,0.003400452227160271,0.08932050068854008
17,ReTa04,7,70.089,ReO2 (Re4+),0.25,0.6,8.406356689722859e-18,0.35
17,ReTa04,7,70.089,ReO3 (Re6+),0.25,0.24361667476614401,0.07865986013212999,-0.006383325233855985
