index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm
0,ReTa03,0,0.0,5.0168802370824785,0.0
1,ReTa03,1,10.013,4.931338752876218,0.0
2,ReTa03,2,20.026,4.946840769345916,0.0
3,ReTa03,3,30.038,4.806630403743912,0.0
4,ReTa03,4,40.051,4.643328572982692,0.0
5,ReTa03,5,50.064,4.740251893410798,0.0
6,ReTa03,6,60.077,4.619348152301896,0.0
7,ReTa03,7,70.09,4.628275090736761,0.0
8,ReTa03,8,80.103,4.6407507583286085,0.0
9,ReTa03,9,90.115,4.651798978762991,0.0
10,ReTa04,0,0.0,5.067101528779254,0.0
11,ReTa04,1,10.013,3.376884530601936,0.0
12,ReTa04,2,20.026,3.2129562053869822,0.0
13,ReTa04,3,30.039,3.1148337179406087,0.0
14,ReTa04,4,40.051,3.108762728308778,0.0
15,ReTa04,5,50.063,3.173649839754966,0.0
16,ReTa04,6,60.076,3.1466831466053122,0.0
17,ReTa04,7,70.089,3.149304085038365,0.0
18,ReTa04,8,80.101,3.1010778775894847,0.0
19,ReTa04,9,90.114,3.1014657191234605,0.0
