index,sample,etchlevel,etchtime,reference_profile,species,expected_amp,fitted_amp,stderr,delta
0,ReTa03,0,0.0,Control-derived reference,Ta metal,0.2,0.0908095882621728,0.0,-0.10919041173782722
0,ReTa03,0,0.0,Control-derived reference,Ta interface,0.05,0.10897150591460733,0.0,0.05897150591460733
0,ReTa03,0,0.0,Control-derived reference,Ta alloy,0.05,0.051635503531538444,0.0,0.0016355035315384417
0,ReTa03,0,0.0,Control-derived reference,Ta+1,0.05,0.31150046647588875,0.0,0.26150046647588876
0,ReTa03,0,0.0,Control-derived reference,Ta+3,0.1,3.024566872361837e-17,0.0,-0.09999999999999998
0,ReTa03,0,0.0,Control-derived reference,Ta+5 (Ta2O5),0.55,0.43708293581579266,0.0,-0.11291706418420738
1,ReTa03,1,10.013,Control-derived reference,Ta metal,0.2,0.08844154238863146,0.0,-0.11155845761136855
1,ReTa03,1,10.013,Control-derived reference,Ta interface,0.05,0.10612985086635773,0.0,0.05612985086635773
1,ReTa03,1,10.013,Control-derived reference,Ta alloy,0.05,0.10268988333274005,0.0,0.05268988333274005
1,ReTa03,1,10.013,Control-derived reference,Ta+1,0.05,0.5011070875749454,0.0,0.4511070875749454
1,ReTa03,1,10.013,Control-derived reference,Ta+3,0.1,0.16244399593598563,0.0,0.062443995935985624
1,ReTa03,1,10.013,Control-derived reference,Ta+5 (Ta2O5),0.55,0.039187639901339694,0.0,-0.5108123600986604
2,ReTa03,2,20.026,Control-derived reference,Ta metal,0.2,0.08926086412373817,0.0,-0.11073913587626184
2,ReTa03,2,20.026,Control-derived reference,Ta interface,0.05,0.10711303694848578,0.0,0.05711303694848578
2,ReTa03,2,20.026,Control-derived reference,Ta alloy,0.05,0.08962257372434977,0.0,0.03962257372434977
2,ReTa03,2,20.026,Control-derived reference,Ta+1,0.05,0.535565184742429,0.0,0.485565184742429
2,ReTa03,2,20.026,Control-derived reference,Ta+3,0.1,0.14315162548078073,0.0,0.04315162548078072
2,ReTa03,2,20.026,Control-derived reference,Ta+5 (Ta2O5),0.55,0.035286714980216634,0.0,-0.5147132850197834
3,ReTa03,3,30.038,Control-derived reference,Ta metal,0.2,0.09442797512990748,0.0,-0.10557202487009253
3,ReTa03,3,30.038,Control-derived reference,Ta interface,0.05,0.10739644739085616,0.0,0.057396447390856156
3,ReTa03,3,30.038,Control-derived reference,Ta alloy,0.05,0.08733611210550263,0.0,0.037336112105502625
3,ReTa03,3,30.038,Control-derived reference,Ta+1,0.05,0.5369822369542807,0.0,0.4869822369542807
3,ReTa03,3,30.038,Control-derived reference,Ta+3,0.1,0.14039515052595722,0.0,0.04039515052595721
3,ReTa03,3,30.038,Control-derived reference,Ta+5 (Ta2O5),0.55,0.033462077893495736,0.0,-0.5165379221065043
4,ReTa03,4,40.051,Control-derived reference,Ta metal,0.2,0.10099007440418285,0.0,-0.09900992559581716
4,ReTa03,4,40.051,Control-derived reference,Ta interface,0.05,0.10727657227443022,0.0,0.05727657227443021
4,ReTa03,4,40.051,Control-derived reference,Ta alloy,0.05,0.08399900471602337,0.0,0.033999004716023365
4,ReTa03,4,40.051,Control-derived reference,Ta+1,0.05,0.5363828613721511,0.0,0.4863828613721511
