sample,etchlevel,etchtime,depth_order,oxide_thickness_nm,thickness_err_nm
ReTa03,0,0.0,0,5.0168802370824785,0.0
ReTa03,1,10.013,1,4.931338752876218,0.0
ReTa03,2,20.026,2,4.946840769345916,0.0
ReTa03,3,30.038,3,4.806630403743912,0.0
ReTa03,4,40.051,4,4.643328572982692,0.0
ReTa03,5,50.064,5,4.740251893410798,0.0
ReTa03,6,60.077,6,4.619348152301896,0.0
ReTa03,7,70.09,7,4.628275090736761,0.0
ReTa03,8,80.103,8,4.6407507583286085,0.0
ReTa03,9,90.115,9,4.651798978762991,0.0
ReTa04,0,0.0,0,5.067101528779254,0.0
ReTa04,1,10.013,1,3.376884530601936,0.0
ReTa04,2,20.026,2,3.2129562053869822,0.0
ReTa04,3,30.039,3,3.1148337179406087,0.0
ReTa04,4,40.051,4,3.108762728308778,0.0
ReTa04,5,50.063,5,3.173649839754966,0.0
ReTa04,6,60.076,6,3.1466831466053122,0.0
ReTa04,7,70.089,7,3.149304085038365,0.0
ReTa04,8,80.101,8,3.1010778775894847,0.0
ReTa04,9,90.114,9,3.1014657191234605,0.0
