index,sample,etchlevel,etchtime,Re_metal_frac,Re_metal_err,ReO2_frac,ReO2_err,ReO3_frac,ReO3_err,Re2O7_frac,Re2O7_err
0,ReTa03,0,0.0,0.7241958023254277,0.008024532142570361,0.18573538330722525,0.007517161700485877,0.05523831642646835,0.008491328443337519,0.03483049794087875,0.004700064891804881
1,ReTa03,1,10.013,0.8274026066069595,0.009626440700003151,0.08995564802237492,0.01122056485435977,0.03436229039587461,0.011415996368719475,0.048279454974790977,0.005701893349832142
2,ReTa03,2,20.026,0.8242308639248697,0.009939404759440077,0.0905071703239661,0.011903324081918097,0.03517214901767579,0.012034108016285652,0.05008981673348843,0.005892834833761057
3,ReTa03,3,30.038,0.826223426665835,0.009618099305428056,0.090121530225834,0.011449926229977108,0.035615470741995114,0.011581798615443365,0.04803957236633587,0.005699094235830088
4,ReTa03,4,40.051,0.8243925698477429,0.009777952130978053,0.09076206399376331,0.011770949246788162,0.03536339735054952,0.011894955672582657,0.04948196880794429,0.005778123670782831
5,ReTa03,5,50.064,0.826322538818884,0.009654865235629516,0.08991434901064253,0.01175352611330561,0.035362250166985514,0.011812705752526416,0.04840086200348794,0.005727768961504763
6,ReTa03,6,60.077,0.8273918782402045,0.009531213897742127,0.0895980236426006,0.011507497829244179,0.03535621827813439,0.011624900090662938,0.04765387983906047,0.0056488169964822995
7,ReTa03,7,70.09,0.8254488453189379,0.009788690131196928,0.08979543290936366,0.011922383196572569,0.03528595397933244,0.011980099456743942,0.049469767792365935,0.00579602221772587
8,ReTa03,8,80.103,0.8276627690883592,0.009429251521198723,0.0896769500530504,0.011305912727616475,0.03552374887237597,0.011424732984385781,0.04713653198621444,0.005583304266275696
9,ReTa03,9,90.115,0.827485024190716,0.009615010964418217,0.08909334422915288,0.0116957739126273,0.0354537189575169,0.011785676707880088,0.04796791262261424,0.005702221641042167
10,ReTa04,0,0.0,0.718182004044605,0.009216421427457742,0.20624011985753726,0.007694629965434216,0.014461612650334498,0.006401764167320587,0.06111626344752324,0.005563019977231644
11,ReTa04,1,10.013,0.8272582981990853,0.008456545425765084,0.09285137975704078,0.007192741434015152,0.01707375700611154,0.005899075145358906,0.06281656503776238,0.004683648585694076
12,ReTa04,2,20.026,0.8250123014561689,0.008757332912853322,0.09298010586402176,0.007457911548491331,0.01772411383706579,0.006041508876893601,0.0642834788427435,0.004832435089421556
13,ReTa04,3,30.039,0.8247854357524683,0.008819151539335306,0.09307159534070854,0.007512707586461709,0.01733638360161903,0.006049541250670026,0.06480658530520413,0.004862313753820401
14,ReTa04,4,40.051,0.8239507705888446,0.008757383441542642,0.0932641470373569,0.007483109411646375,0.017940011306264686,0.0060427679967285704,0.06484507106753387,0.004825770193596373
15,ReTa04,5,50.063,0.8248667141377544,0.008786518607914262,0.09284676260881512,0.007524779186584198,0.017715254632323756,0.006089646934454159,0.06457126862110678,0.004850884780285915
16,ReTa04,6,60.076,0.8253421294134221,0.008799185456444515,0.09255988743587402,0.007540546354508536,0.017955791635930262,0.006128844756890668,0.06414219151477356,0.004843946263386635
17,ReTa04,7,70.089,0.8234083055429636,0.008996347815772033,0.09251977532202696,0.007755154340634661,0.018120576771864964,0.006270178101884762,0.06595134236314441,0.004949293657258281
18,ReTa04,8,80.101,0.8246002849908303,0.008812247780098632,0.09248612295670489,0.007526052608964549,0.01795819343760651,0.006170134489694713,0.06495539861485836,0.004851312698287751
19,ReTa04,9,90.114,0.8284279086457823,0.008461798357784347,0.0923646127334924,0.007202895336309513,0.017332935633000777,0.005875358480360429,0.06187454298772455,0.004666023998946257
