sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime,depth_order
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.1251938263223,0.00769170205239797,0.42519382632229963,0,0.0,0
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09242525138359,0.009127308697966708,0.3924252513835853,1,10.013,1
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09630457146367,0.009540138625216237,0.3963045714636664,2,20.026,2
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09822175534874,0.0091518571677778,0.39822175534873594,3,30.038,3
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09643116052962,0.00941465128776142,0.396431160529616,4,40.051,4
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09301035771371,0.009161840272501491,0.39301035771370607,5,50.064,5
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09350828271086,0.00911830017327351,0.3935082827108545,6,60.077,6
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09051423876823,0.009371074643278571,0.3905142387682261,7,70.09,7
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.08851485491853,0.008937615665946174,0.388514854918526,8,80.103,8
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.0884045618596,0.009163780396380926,0.3884045618595948,9,90.115,9
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.69962016298651,0.005024419948965077,0.3996201629865155,0,0.0,0
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65738169741143,0.005967305961464393,0.35738169741143366,1,10.013,1
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.66038567457282,0.006222553645711539,0.3603856745728251,2,20.026,2
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.66392690420184,0.005971822200761063,0.3639269042018398,3,30.038,3
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.66055963515782,0.006111866439575909,0.36055963515781997,4,40.051,4
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65769120847957,0.006012502839070278,0.35769120847957225,5,50.064,5
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65816888499058,0.005934128386265587,0.3581688849905831,6,60.077,6
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65504310628033,0.006125388585359011,0.3550431062803341,7,70.09,7
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65427946433715,0.0058468341400044225,0.3542794643371536,8,80.103,8
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65267582891673,0.005987445686111914,0.35267582891673044,9,90.115,9
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.125573663335786,0.008869642592849718,1.225573663335787,0,0.0,0
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.13504355397215,0.010682887228708865,1.2350435539721545,1,10.013,1
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.13591889689084,0.011162322659900728,1.235918896890844,2,20.026,2
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.1342948511469,0.010705617211206449,1.234294851146899,3,30.038,3
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.1358715253718,0.011005565888490873,1.235871525371799,4,40.051,4
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.135319149234135,0.01072720095018596,1.2353191492341367,5,50.064,5
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.13533939772027,0.010662344182578219,1.2353393977202742,6,60.077,6
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.13547113248789,0.010956694837823824,1.2354711324878949,7,70.09,7
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.134235390581374,0.010456189167601708,1.2342353905813752,8,80.103,8
ReTa03,Unknown,Re4f,Re2O7 (Re7+),5/2,47.9,49.135728732942866,0.01071466550032004,1.2357287329428672,9,90.115,9
