sample,species,normalized_amplitude,stderr_normalized
BOE_WK0,Re_metal,0.8086362632125931,0.0
BOE_WK0,Redp1,5.217501615162482e-15,0.0
BOE_WK0,Redp2,0.029314540357456672,0.0
BOE_WK0,Redp3,0.07186712173444852,0.0
BOE_WK0,ReO2,0.030542441924735837,0.0
BOE_WK0,ReO3,0.05496499381966858,0.0
BOE_WK0,Re2O7,0.004674638951092073,0.0
BOE_WK1,Re_metal,0.6670035477999409,0.0
BOE_WK1,Redp1,2.7468298455398247e-13,0.0
BOE_WK1,Redp2,0.03637647935992276,0.0
BOE_WK1,Redp3,0.054090286204834866,0.0
BOE_WK1,ReO2,0.08753065496586888,0.0
BOE_WK1,ReO3,0.051651709494326285,0.0
BOE_WK1,Re2O7,0.10334732217483171,0.0
BOE_WK2,Re_metal,0.6214216376376137,0.0
BOE_WK2,Redp1,5.13678850867423e-13,0.0
BOE_WK2,Redp2,0.03075134334631937,0.0
BOE_WK2,Redp3,0.059094557348190725,0.0
BOE_WK2,ReO2,0.08649203363533949,0.0
BOE_WK2,ReO3,0.05010191798454612,0.0
BOE_WK2,Re2O7,0.15213851004747678,0.0
BOE_WK3,Re_metal,0.6521916652619388,0.0
BOE_WK3,Redp1,2.308008248973832e-15,0.0
BOE_WK3,Redp2,0.03569985445128057,0.0
BOE_WK3,Redp3,0.056932381131278985,0.0
BOE_WK3,ReO2,0.09095516248048109,0.0
BOE_WK3,ReO3,0.03954933368458333,0.0
BOE_WK3,Re2O7,0.12467160299043475,0.0
Control_WK0,Re_metal,0.7754302630716383,0.0
Control_WK0,Redp1,6.852408428714923e-12,0.0
Control_WK0,Redp2,0.018864533427484394,0.0
Control_WK0,Redp3,0.06621155491744059,0.0
Control_WK0,ReO2,0.06455435042599442,0.0
Control_WK0,ReO3,0.030772416882337433,0.0
Control_WK0,Re2O7,0.04416688126825234,0.0
Control_WK1,Re_metal,0.768950612391601,0.0
Control_WK1,Redp1,5.251843271534008e-14,0.0
Control_WK1,Redp2,0.03588057305761093,0.0
Control_WK1,Redp3,0.05242090879396155,0.0
Control_WK1,ReO2,0.07745851613021362,0.0
Control_WK1,ReO3,0.01545494041911499,0.0
Control_WK1,Re2O7,0.04983444920744533,0.0
Control_WK2,Re_metal,0.76621155192768,0.0
Control_WK2,Redp1,8.077341308102493e-14,0.0
Control_WK2,Redp2,0.03445810087708036,0.0
Control_WK2,Redp3,0.04982099513097147,0.0
Control_WK2,ReO2,0.07974708732174764,0.0
Control_WK2,ReO3,0.01686542336947931,0.0
Control_WK2,Re2O7,0.05289684137296058,0.0
Control_WK3,Re_metal,0.770890450099362,0.0
Control_WK3,Redp1,2.1438793114820663e-13,0.0
Control_WK3,Redp2,0.025476868462413645,0.0
Control_WK3,Redp3,0.04985502099965747,0.0
Control_WK3,ReO2,0.07535629974921251,0.0
Control_WK3,ReO3,0.023509892995966595,0.0
Control_WK3,Re2O7,0.054911467693173344,0.0
