sample,etchlevel,etchtime,depth_order,oxide_thickness_nm,thickness_err_nm
ReTa03,,,0,1.062020839802395,0.042706234520223846
ReTa03,0.0,0.0,1,1.0304523714158111,0.04086962070018357
ReTa03,1.0,10.013,2,0.6090320869599343,0.0551232484217838
ReTa03,2.0,20.026,3,0.6212538511022765,0.058101356725220425
ReTa03,3.0,30.038,4,0.6135709038035353,0.05594131617186243
ReTa03,4.0,40.051,5,0.6206297296179974,0.05738168770812664
ReTa03,5.0,50.064,6,0.613189174276528,0.05708660515730659
ReTa03,6.0,60.077,7,0.6090733540726693,0.05607458748276898
ReTa03,7.0,70.09,8,0.6165555564953475,0.0578908952526286
ReTa03,8.0,80.103,9,0.6080314766789272,0.05515207023373765
ReTa03,9.0,90.115,10,0.6087150723155792,0.056877503857787524
ReTa04,,,0,1.1874472432137373,0.04602761970009855
ReTa04,0.0,0.0,1,1.0566644181741007,0.039572077899948356
ReTa04,1.0,10.013,2,0.6289879180133918,0.05391088738710084
ReTa04,2.0,20.026,3,0.6366834309676459,0.05579519036624439
ReTa04,3.0,30.039,4,0.6378440210539749,0.056499895702438324
ReTa04,4.0,40.051,5,0.640791109479056,0.05633713175190188
ReTa04,5.0,50.063,6,0.6367355307717907,0.05813824046499331
ReTa04,6.0,60.076,7,0.6344363579795168,0.05797473068529132
ReTa04,7.0,70.089,8,0.6417989519495123,0.06042191815030479
ReTa04,8.0,80.101,9,0.6375657672526693,0.055845582004661845
ReTa04,9.0,90.114,10,0.624487766713166,0.05388456993145615
