index,sample,etchlevel,etchtime,reference_profile,species,expected_amp,fitted_amp,stderr,delta
0,ReTa03,0.0,0.0,Control-derived reference,Ta metal,0.2,0.09070837414570895,1.0538332865141159e-10,-0.10929162585429106
0,ReTa03,0.0,0.0,Control-derived reference,Ta interface,0.05,0.10885004897027524,3.8047239729925396e-06,0.05885004897027524
0,ReTa03,0.0,0.0,Control-derived reference,Ta alloy,0.05,0.28133504866136316,0.038908512355182105,0.23133504866136317
0,ReTa03,0.0,0.0,Control-derived reference,Ta+1,0.05,0.29848081487928396,0.031038360079187664,0.24848081487928397
0,ReTa03,0.0,0.0,Control-derived reference,Ta+3,0.1,0.11305269702731754,0.0193531656015088,0.013052697027317539
0,ReTa03,0.0,0.0,Control-derived reference,Ta+5 (Ta2O5),0.55,0.10757301631605122,0.03126967406768636,-0.44242698368394884
1,ReTa03,1.0,10.013,Control-derived reference,Ta metal,0.2,0.08787755599079247,5.366552607102156e-10,-0.11212244400920754
1,ReTa03,1.0,10.013,Control-derived reference,Ta interface,0.05,0.1054530671889441,3.004156238496964e-08,0.05545306718894409
1,ReTa03,1.0,10.013,Control-derived reference,Ta alloy,0.05,0.1721920464025072,0.010007513750003739,0.1221920464025072
1,ReTa03,1.0,10.013,Control-derived reference,Ta+1,0.05,0.49081377810656807,0.00992905544300015,0.4408137781065681
1,ReTa03,1.0,10.013,Control-derived reference,Ta+3,0.1,0.11959183908857197,0.009659900453916476,0.01959183908857197
1,ReTa03,1.0,10.013,Control-derived reference,Ta+5 (Ta2O5),0.55,0.0240717132226162,0.0032280260943742156,-0.5259282867773838
2,ReTa03,2.0,20.026,Control-derived reference,Ta metal,0.2,0.0880987076810573,2.563003496341921e-10,-0.1119012923189427
2,ReTa03,2.0,20.026,Control-derived reference,Ta interface,0.05,0.10571844921726874,5.215708370255894e-10,0.055718449217268734
2,ReTa03,2.0,20.026,Control-derived reference,Ta alloy,0.05,0.1597428667318881,0.0073436908035223085,0.10974286673188809
2,ReTa03,2.0,20.026,Control-derived reference,Ta+1,0.05,0.5285922460863438,2.655865892535282e-10,0.4785922460863438
2,ReTa03,2.0,20.026,Control-derived reference,Ta+3,0.1,0.09650254657128529,0.008018018683168926,-0.003497453428714714
2,ReTa03,2.0,20.026,Control-derived reference,Ta+5 (Ta2O5),0.55,0.021345183712156695,0.002951276006756006,-0.5286548162878434
3,ReTa03,3.0,30.038,Control-derived reference,Ta metal,0.2,0.08859777030647786,8.19671724636375e-10,-0.11140222969352215
3,ReTa03,3.0,30.038,Control-derived reference,Ta interface,0.05,0.1063173243677734,5.351226519892382e-10,0.0563173243677734
3,ReTa03,3.0,30.038,Control-derived reference,Ta alloy,0.05,0.1608296559291941,0.007087746771697813,0.1108296559291941
3,ReTa03,3.0,30.038,Control-derived reference,Ta+1,0.05,0.5315866218388672,3.067345979448784e-10,0.4815866218388672
3,ReTa03,3.0,30.038,Control-derived reference,Ta+3,0.1,0.09315480039251055,0.007809336919261182,-0.006845199607489458
3,ReTa03,3.0,30.038,Control-derived reference,Ta+5 (Ta2O5),0.55,0.019513827165177005,0.0029188621767157956,-0.530486172834823
4,ReTa03,4.0,40.051,Control-derived reference,Ta metal,0.2,0.0888259304876153,7.029223505261166e-10,-0.1111740695123847
4,ReTa03,4.0,40.051,Control-derived reference,Ta interface,0.05,0.10659111658513827,8.669760621716186e-10,0.05659111658513827
4,ReTa03,4.0,40.051,Control-derived reference,Ta alloy,0.05,0.16327022513040917,0.00683375612459542,0.11327022513040917
4,ReTa03,4.0,40.051,Control-derived reference,Ta+1,0.05,0.5329555829256918,1.783652224310433e-11,0.4829555829256918
4,ReTa03,4.0,40.051,Control-derived reference,Ta+3,0.1,0.09091927771352241,0.00752579613407043,-0.009080722286477591
4,ReTa03,4.0,40.051,Control-derived reference,Ta+5 (Ta2O5),0.55,0.017437867157622956,0.00285266113148359,-0.5325621328423771
5,ReTa03,5.0,50.064,Control-derived reference,Ta metal,0.2,0.08861722365601472,1.0772936693421611e-10,-0.11138277634398529
5,ReTa03,5.0,50.064,Control-derived reference,Ta interface,0.05,0.10634066838721762,6.790012132627285e-10,0.056340668387217616
5,ReTa03,5.0,50.064,Control-derived reference,Ta alloy,0.05,0.1603414715392052,0.0069228830355056335,0.11034147153920519
5,ReTa03,5.0,50.064,Control-derived reference,Ta+1,0.05,0.5317033419360871,3.004438565690023e-09,0.48170334193608716
5,ReTa03,5.0,50.064,Control-derived reference,Ta+3,0.1,0.09220412026139731,0.007639958727091037,-0.0077958797386026984
5,ReTa03,5.0,50.064,Control-derived reference,Ta+5 (Ta2O5),0.55,0.020793174220077888,0.0028819039739587204,-0.5292068257799222
6,ReTa03,6.0,60.077,Control-derived reference,Ta metal,0.2,0.08856168321680132,3.1019735163430024e-09,-0.1114383167831987
6,ReTa03,6.0,60.077,Control-derived reference,Ta interface,0.05,0.10627401986015994,1.3827382503267593e-09,0.05627401986015994
6,ReTa03,6.0,60.077,Control-derived reference,Ta alloy,0.05,0.16214972886397847,0.006790730541034576,0.11214972886397846
6,ReTa03,6.0,60.077,Control-derived reference,Ta+1,0.05,0.5313700993008007,5.484442396952698e-10,0.4813700993008007
6,ReTa03,6.0,60.077,Control-derived reference,Ta+3,0.1,0.09323448844863234,0.007475995807979751,-0.006765511551367662
6,ReTa03,6.0,60.077,Control-derived reference,Ta+5 (Ta2O5),0.55,0.018409980309627205,0.002831921237512974,-0.5315900196903729
7,ReTa03,7.0,70.09,Control-derived reference,Ta metal,0.2,0.08884444750673355,5.769064443422988e-10,-0.11115555249326646
7,ReTa03,7.0,70.09,Control-derived reference,Ta interface,0.05,0.10661333700808003,1.3375970470952867e-09,0.05661333700808002
7,ReTa03,7.0,70.09,Control-derived reference,Ta alloy,0.05,0.1639184348795814,0.006787050025793643,0.1139184348795814
7,ReTa03,7.0,70.09,Control-derived reference,Ta+1,0.05,0.5330666850404012,5.176483318620799e-11,0.48306668504040123
7,ReTa03,7.0,70.09,Control-derived reference,Ta+3,0.1,0.08961786379713647,0.007457122147158056,-0.010382136202863532
7,ReTa03,7.0,70.09,Control-derived reference,Ta+5 (Ta2O5),0.55,0.01793923176806736,0.002845087030833449,-0.5320607682319327
8,ReTa03,8.0,80.103,Control-derived reference,Ta metal,0.2,0.08866591629711439,8.255499690444076e-10,-0.11133408370288563
8,ReTa03,8.0,80.103,Control-derived reference,Ta interface,0.05,0.10639909955653717,8.0044948237393e-10,0.05639909955653717
8,ReTa03,8.0,80.103,Control-derived reference,Ta alloy,0.05,0.16300609306074212,0.006769484708730761,0.11300609306074212
8,ReTa03,8.0,80.103,Control-derived reference,Ta+1,0.05,0.5319954977826863,1.9668133416991178e-10,0.4819954977826863
8,ReTa03,8.0,80.103,Control-derived reference,Ta+3,0.1,0.09078910685927315,0.0074219569671726,-0.009210893140726858
8,ReTa03,8.0,80.103,Control-derived reference,Ta+5 (Ta2O5),0.55,0.01914428644364693,0.0028265252402096953,-0.5308557135563531
9,ReTa03,9.0,90.115,Control-derived reference,Ta metal,0.2,0.09125612325503149,0.010755279954287824,-0.10874387674496852
9,ReTa03,9.0,90.115,Control-derived reference,Ta interface,0.05,0.10495155162134549,1.2975390005215558e-08,0.05495155162134549
9,ReTa03,9.0,90.115,Control-derived reference,Ta alloy,0.05,0.13046978224005276,0.009645391885449228,0.08046978224005276
