sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime,depth_order
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.23504355989955,0.01068288811348424,-0.4649564401004511,1.0,10.013,2
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.235918891035915,0.01116232289325135,-0.4640811089640877,2.0,20.026,3
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.23429484474232,0.010705616700411827,-0.4657051552576803,3.0,30.038,4
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.23587151760467,0.011005565814748982,-0.46412848239533133,4.0,40.051,5
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.23531914900414,0.010727201467734631,-0.46468085099586176,5.0,50.064,6
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.23533939129058,0.010662343576048458,-0.4646606087094227,6.0,60.077,7
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.235471132084875,0.010956695796681827,-0.4645288679151278,7.0,70.09,8
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.234235388065116,0.010456188212940766,-0.46576461193488683,8.0,80.103,9
ReTa03,Unknown,Re4f,ReO2 (Re4+),5/2,44.7,44.23572873468619,0.010714665312597049,-0.4642712653138119,9.0,90.115,10
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.80000000000002,1.936619860351501e-08,-0.4999999999999787,,,0
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.8,3.3908476427993913e-09,-0.5,0.0,0.0,1
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.5936302936202572e-08,-0.5,1.0,10.013,2
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.80000000000002,5.9089859941931805e-08,-0.4999999999999787,2.0,20.026,3
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.800000000000004,2.999720813103833e-08,-0.4999999999999929,3.0,30.038,4
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.0484765553659242e-08,-0.5,4.0,40.051,5
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.80000000000002,5.9002489469316956e-08,-0.4999999999999787,5.0,50.064,6
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.800000000000026,6.31858804499357e-08,-0.4999999999999716,6.0,60.077,7
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.7256362681269945e-08,-0.5,7.0,70.09,8
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.8,1.3569595463584146e-08,-0.5,8.0,80.103,9
ReTa03,Unknown,Re4f,ReO2 (Re4+),7/2,42.3,41.800000000000026,6.570937679933006e-08,-0.4999999999999716,9.0,90.115,10
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.89199569163689,0.07382222058147148,0.3919956916368932,,,0
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.91702341091302,0.07124110578740595,0.41702341091301776,0.0,0.0,1
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.59340562132952,0.1893880128743187,0.09340562132951646,1.0,10.013,2
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.5798807834255,0.19349029115367392,0.07988078342550153,2.0,20.026,3
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.590185277485446,0.18564348495896582,0.09018527748544614,3.0,30.038,4
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.56506688570142,0.18712658568833604,0.06506688570141961,4.0,40.051,5
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.58882222604022,0.19325986409606127,0.08882222604022161,5.0,50.064,6
ReTa03,Unknown,Re4f,ReO3 (Re6+),5/2,45.5,45.57518888578234,0.18684985049546599,0.07518888578233884,6.0,60.077,7
