index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm
0,ReTa03,0.0,0.0,4.193350901369356,0.20150967950541368
1,ReTa03,1.0,10.013,4.711091447603898,0.05110197589099799
2,ReTa03,2.0,20.026,4.747995136952768,0.03021761751853179
3,ReTa03,3.0,30.038,4.727357547321005,0.029536574139130023
4,ReTa03,4.0,40.051,4.711049217203199,0.02860669789023632
5,ReTa03,5.0,50.064,4.728433871092657,0.02891129922056729
6,ReTa03,6.0,60.077,4.723888149949097,0.028369454610573334
7,ReTa03,7.0,70.09,4.708124337143089,0.028392707091767805
8,ReTa03,8.0,80.103,4.717349869753828,0.028216063768869575
9,ReTa03,9.0,90.115,4.760649056765924,0.27025664481339723
10,ReTa03,,,4.113677738032656,0.18027038595078027
11,ReTa04,0.0,0.0,5.171243715450645,0.0
12,ReTa04,1.0,10.013,3.645063749895559,0.1687112502942035
13,ReTa04,2.0,20.026,3.194595261691051,0.15838424142059876
14,ReTa04,3.0,30.039,3.139528002129362,0.15694754623189303
15,ReTa04,4.0,40.051,3.469026290484323,0.1548163866955276
16,ReTa04,5.0,50.063,3.1726130720171146,0.15889894961321516
17,ReTa04,6.0,60.076,3.1645053050766925,0.1569253369390452
18,ReTa04,7.0,70.089,3.150241093839699,0.1569422470203844
19,ReTa04,8.0,80.101,3.1301406588019156,0.15319207652714192
20,ReTa04,9.0,90.114,3.4185518682089877,0.1510954579004161
21,ReTa04,,,5.077485762195826,0.0
