index,sample,etchlevel,etchtime,metal_frac,metal_err,Ta5_frac,Ta5_err,Ta3_frac,Ta3_err,Ta1_frac,Ta1_err,interface_frac,interface_err,alloy_frac,alloy_err
0,ReTa03,0.0,0.0,0.09070837414570895,0.004708388247606047,0.10757301631605122,0.028505071794920317,0.11305269702731754,0.018965300024865146,0.29848081487928396,0.02319710897617567,0.10885004897027524,0.005650067138545635,0.28133504866136316,0.038400707370013255
1,ReTa03,1.0,10.013,0.08787755599079247,0.0012038455804955317,0.0240717132226162,0.0031790823232869065,0.11959183908857197,0.008694584323113957,0.49081377810656807,0.008923805606917832,0.1054530671889441,0.0014446146969056232,0.1721920464025072,0.009797507069579514
2,ReTa03,2.0,20.026,0.0880987076810573,0.0009291109944045751,0.021345183712156695,0.002913318069661274,0.09650254657128529,0.0073737714966425035,0.5285922460863438,0.005574665966427245,0.10571844921726874,0.0011149331932855408,0.1597428667318881,0.006434891352386323
3,ReTa03,3.0,30.038,0.08859777030647786,0.0009110717687512238,0.019513827165177005,0.002885546244420065,0.09315480039251055,0.007197713300094904,0.5315866218388672,0.0054664306125052275,0.1063173243677734,0.001093286122501165,0.1608296559291941,0.0061898491832222385
4,ReTa03,4.0,40.051,0.0888259304876153,0.0008857185893025474,0.017437867157622956,0.0028214249311053056,0.09091927771352241,0.006944552627842639,0.5329555829256918,0.005314311535813697,0.10659111658513827,0.001062862307163039,0.16327022513040917,0.0059502584147267
5,ReTa03,5.0,50.064,0.08861722365601472,0.0008897327112163454,0.020793174220077888,0.0028460357617682837,0.09220412026139731,0.00704879919683798,0.5317033419360871,0.005338396267298138,0.10634066838721762,0.0010676792534597998,0.1603414715392052,0.00605825279964073
6,ReTa03,6.0,60.077,0.08856168321680132,0.0008838043409735872,0.018409980309627205,0.002797331309235963,0.09323448844863234,0.006874516179975402,0.5313700993008007,0.005302826045810617,0.10627401986015994,0.0010605652091629017,0.16214972886397847,0.005913097618452062
7,ReTa03,7.0,70.09,0.08884444750673355,0.0008812946710282429,0.01793923176806736,0.0028142864373392673,0.08961786379713647,0.006886381129363092,0.5330666850404012,0.005287768026168386,0.10661333700808003,0.00105755360523441,0.1639184348795814,0.0058949939239143065
8,ReTa03,8.0,80.103,0.08866591629711439,0.0008763231688597934,0.01914428644364693,0.0027914518340311388,0.09078910685927315,0.006845489669325763,0.5319954977826863,0.0052579390131565675,0.10639909955653717,0.0010515878026315746,0.16300609306074212,0.005896694037013548
9,ReTa03,9.0,90.115,0.09125612325503149,0.010292913043046277,0.018834761228949483,0.002224173455346391,0.12973002354802915,0.004318871845183301,0.5247577581065916,0.004944169089711842,0.10495155162134549,0.0009888338170679007,0.13046978224005276,0.00943317715845276
10,ReTa03,,,0.09168553376679114,0.004263416864428828,0.09983618186735145,0.02539683591226056,0.10520761422413387,0.016104747639956694,0.30069439966201317,0.020352869252073007,0.11002264051973497,0.005116100294058025,0.29255362995997536,0.03309411779343633
11,ReTa04,0.0,0.0,0.09087517136858995,0.0,0.498890537309976,0.0,0.03398697249182197,0.0,0.26719711318730416,0.0,0.10905020564230794,0.0,0.0,0.0
12,ReTa04,1.0,10.013,0.12726660201378817,0.009905495572083188,0.036166167975520185,0.0038052796655327677,0.20882207056081625,0.009693564746383566,0.3164961394240707,0.009559705732560075,0.07996770855737619,0.0008325580495167122,0.2312813114684286,0.010915385296135057
13,ReTa04,2.0,20.026,0.15292224489857503,0.011730032023037469,0.0346222706714305,0.0039736912504841635,0.20641378969255508,0.009882208304841109,0.2959087319933201,0.01108247930478551,0.0802032211535461,0.0009070413143285105,0.22992974159057314,0.010966277128273113
14,ReTa04,3.0,30.039,0.15676178441636093,0.011966886785411815,0.03444302298278769,0.004092083584695125,0.20650455320496489,0.010121212479868831,0.29372592719195045,0.01130546495447149,0.08025976876202916,0.00094152696260399,0.22830494344190688,0.011201896951783044
15,ReTa04,4.0,40.051,0.1387439974920746,0.009971741699869117,0.03598862860192722,0.004097003578679701,0.2163398455697168,0.010143754857769104,0.3085542936730594,0.009724355612590264,0.08025621091597092,0.0009239262722951027,0.22011702374725098,0.011220381131844601
16,ReTa04,5.0,50.063,0.15436750343945363,0.011887043447400308,0.03500996430289162,0.004079877077672157,0.20540381243442324,0.010097317143387931,0.2953767597110506,0.011252485768610702,0.08033485703293174,0.0009399809402948704,0.2295071030792492,0.011201270186383581
17,ReTa04,6.0,60.076,0.1548734416603477,0.011781662567857029,0.03333952617874455,0.00406357507062178,0.20509452258819252,0.010008348963110036,0.29681994175272514,0.011176459277889088,0.08009622086089062,0.0009310312221022131,0.22977634695909946,0.011096326369393863
18,ReTa04,7.0,70.089,0.15553642841195955,0.01184871152215063,0.034745662436164206,0.004093417119832696,0.20490620328815967,0.01012199549533049,0.29385891286614946,0.011230606751399475,0.08033118934108902,0.0009414309242419355,0.23062160365647807,0.011235022108917988
19,ReTa04,8.0,80.101,0.15761771500924898,0.011747313609802081,0.033029218155221356,0.004032193628440251,0.20711403777117587,0.009951892929262617,0.29478049596042055,0.011118708086775784,0.0800570234761354,0.0009259924326135732,0.22740150962779793,0.010996651154756574
20,ReTa04,9.0,90.114,0.14132995825983172,0.009955404124147126,0.03502350185944366,0.004074366595641847,0.2156459265985892,0.010099427792869755,0.30629749805811196,0.009706225336344148,0.08016147994856393,0.0009208902070039706,0.22154163527545945,0.011185364140611942
21,ReTa04,,,0.09013002186005044,0.0,0.4976513084326188,0.0,1.951256296840435e-15,0.0,0.264838608583683,0.0,0.10815602623206047,0.0,0.039224034891585345,0.0
