element,x0,x0_err,k,k_err,tau,tau_err,redchi
Ta,1.4228640851343415,0.9999997516195308,0.17503791802361812,1.326593256171978,0.01075462490362081,0.4278211141338073,0.007721682045219686
Re,0.615978953526305,0.9999999979320636,0.10313271334945814,1.2795421255567974,0.00100000000000579,0.09385528995549602,0.019047159299336047
