sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
Control_WK0,Control,Ta4f,Ta+1,5/2,24.6,23.910000000000135,0.20337015667330008,-0.6899999999998663
Control_WK0,Control,Ta4f,Ta+3,7/2,24.2,23.54289951292351,0.08933125370435088,-0.6571004870764909
Control_WK0,Control,Ta4f,Ta+3,5/2,26.1,25.45289951292351,0.08933125361510368,-0.6471004870764929
Control_WK0,Control,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.038904885736137,0.003150096407589812,-0.7610951142638633
Control_WK0,Control,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.948904885736138,0.0031500964099589043,-0.7510951142638618
Control_WK1,Control,Ta4f,Ta metal,7/2,22.0,22.404664192331012,0.03126141371909212,0.4046641923310119
Control_WK1,Control,Ta4f,Ta metal,5/2,23.9,24.314664192331012,0.03126141367233549,0.4146641923310135
Control_WK1,Control,Ta4f,Ta interface,7/2,22.4,22.70572420265047,0.04410208151073945,0.3057242026504703
Control_WK1,Control,Ta4f,Ta interface,5/2,24.3,24.61572420265047,0.04410208151073945,0.3157242026504683
Control_WK1,Control,Ta4f,Ta alloy,7/2,24.0,24.839688872692754,0.12451989732714264,0.8396888726927543
Control_WK1,Control,Ta4f,Ta alloy,5/2,25.9,26.749688872692754,0.12451989732714264,0.8496888726927558
Control_WK1,Control,Ta4f,Ta+1,7/2,22.7,22.0000000000138,0.2481722539216038,-0.6999999999862005
Control_WK1,Control,Ta4f,Ta+1,5/2,24.6,23.9100000000138,0.248172253921448,-0.6899999999862025
Control_WK1,Control,Ta4f,Ta+3,7/2,24.2,23.570581339028067,0.08644691222637049,-0.6294186609719326
Control_WK1,Control,Ta4f,Ta+3,5/2,26.1,25.480581339028067,0.08644691214538994,-0.6194186609719345
Control_WK1,Control,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.967971642091822,0.0032457923710628757,-0.8320283579081789
Control_WK1,Control,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.877971642091822,0.003245792376119648,-0.8220283579081773
Control_WK2,Control,Ta4f,Ta metal,7/2,22.0,22.409853000948903,0.02873816055865958,0.4098530009489032
Control_WK2,Control,Ta4f,Ta metal,5/2,23.9,24.319853000948903,0.028738160533804926,0.41985300094890476
Control_WK2,Control,Ta4f,Ta interface,7/2,22.4,22.713610271616776,0.043573578080820685,0.3136102716167777
Control_WK2,Control,Ta4f,Ta interface,5/2,24.3,24.623610271616776,0.043573578080820685,0.3236102716167757
Control_WK2,Control,Ta4f,Ta alloy,7/2,24.0,24.857494115536856,0.09069045497490265,0.8574941155368556
Control_WK2,Control,Ta4f,Ta alloy,5/2,25.9,26.767494115536856,0.09069045497490265,0.8674941155368572
Control_WK2,Control,Ta4f,Ta+1,7/2,22.7,22.000000000000004,0.19764756427012467,-0.6999999999999957
Control_WK2,Control,Ta4f,Ta+1,5/2,24.6,23.910000000000004,0.19764756427012467,-0.6899999999999977
Control_WK2,Control,Ta4f,Ta+3,7/2,24.2,23.576465142632458,0.08365884505566733,-0.6235348573675417
Control_WK2,Control,Ta4f,Ta+3,5/2,26.1,25.486465142632458,0.08365884501031812,-0.6135348573675437
Control_WK2,Control,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.95864512649359,0.0031051779405652504,-0.8413548735064111
Control_WK2,Control,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.86864512649359,0.00310517793803748,-0.8313548735064096
Control_WK3,Control,Ta4f,Ta metal,7/2,22.0,22.40020764675158,0.03149427154347854,0.4002076467515785
Control_WK3,Control,Ta4f,Ta metal,5/2,23.9,24.31020764675158,0.03149427153221516,0.41020764675158006
Control_WK3,Control,Ta4f,Ta interface,7/2,22.4,22.69507393498478,0.04368630309503042,0.2950739349847815
Control_WK3,Control,Ta4f,Ta interface,5/2,24.3,24.60507393498478,0.04368630309503042,0.3050739349847795
Control_WK3,Control,Ta4f,Ta alloy,7/2,24.0,24.848415768958873,0.10736586102313504,0.8484157689588727
Control_WK3,Control,Ta4f,Ta alloy,5/2,25.9,26.758415768958873,0.10736586102313504,0.8584157689588743
Control_WK3,Control,Ta4f,Ta+1,7/2,22.7,22.000000000000515,0.23170369566572224,-0.6999999999994841
Control_WK3,Control,Ta4f,Ta+1,5/2,24.6,23.910000000000515,0.23170369566571666,-0.6899999999994861
Control_WK3,Control,Ta4f,Ta+3,7/2,24.2,23.540883657134973,0.08195233905806194,-0.6591163428650262
Control_WK3,Control,Ta4f,Ta+3,5/2,26.1,25.450883657134973,0.08195233906913753,-0.6491163428650282
Control_WK3,Control,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.963138412587153,0.00312236842304722,-0.836861587412848
Control_WK3,Control,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.873138412587153,0.0031223684288830124,-0.8268615874128464
BOE_WK0,BOE,Re4f,Re metal,7/2,40.35,40.45999141630332,0.022808839944299365,0.10999141630331621
BOE_WK0,BOE,Re4f,Re metal,5/2,42.77,42.88709074768626,0.022687752077772263,0.11709074768625527
BOE_WK0,BOE,Re4f,Redp1 (Reδ+1),7/2,40.57,40.67999141630332,0.022808839966158213,0.10999141630331621
BOE_WK0,BOE,Re4f,Redp1 (Reδ+1),5/2,42.99,43.10709074768626,0.022687752077772263,0.11709074768625527
BOE_WK0,BOE,Re4f,Redp2 (Reδ+2),7/2,40.8,40.90999141630332,0.022808839966158213,0.10999141630332332
BOE_WK0,BOE,Re4f,Redp2 (Reδ+2),5/2,43.22,43.33709074768626,0.022687752077772263,0.11709074768626238
BOE_WK0,BOE,Re4f,Redp3 (Reδ+3),7/2,41.08,41.189991416303315,0.022808839966158213,0.10999141630331621
BOE_WK0,BOE,Re4f,Redp3 (Reδ+3),5/2,43.5,43.617090747686255,0.022687752077772263,0.11709074768625527
BOE_WK0,BOE,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.03900131788845381,-0.3999999999999986
BOE_WK0,BOE,Re4f,ReO2 (Re4+),5/2,44.62,44.227099331382945,0.03840511020224063,-0.3929006686170524
BOE_WK0,BOE,Re4f,ReO3 (Re6+),7/2,43.1,42.778656363693706,0.11230173820262604,-0.32134363630629537
BOE_WK0,BOE,Re4f,ReO3 (Re6+),5/2,45.52,45.20575569507665,0.11138776600163733,-0.3142443049233563
BOE_WK0,BOE,Re4f,Re2O7 (Re7+),7/2,45.5,45.78606651186058,0.08737911909564623,0.2860665118605823
BOE_WK0,BOE,Re4f,Re2O7 (Re7+),5/2,47.92,48.21316584324352,0.0876234260798574,0.29316584324352135
BOE_WK1,BOE,Re4f,Re metal,7/2,40.35,40.450272402484856,0.02553445408160798,0.1002724024848547
BOE_WK1,BOE,Re4f,Re metal,5/2,42.77,42.87828983798055,0.025998121090457623,0.10828983798054992
BOE_WK1,BOE,Re4f,Redp1 (Reδ+1),7/2,40.57,40.670272402484855,0.02553445403061275,0.1002724024848547
BOE_WK1,BOE,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09828983798055,0.025998121090457623,0.10828983798054992
BOE_WK1,BOE,Re4f,Redp2 (Reδ+2),7/2,40.8,40.90027240248486,0.02553445403061275,0.1002724024848618
BOE_WK1,BOE,Re4f,Redp2 (Reδ+2),5/2,43.22,43.328289837980556,0.025998121090457623,0.10828983798055702
BOE_WK1,BOE,Re4f,Redp3 (Reδ+3),7/2,41.08,41.18027240248485,0.02553445403061275,0.1002724024848547
BOE_WK1,BOE,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60828983798055,0.025998121090457623,0.10828983798054992
BOE_WK1,BOE,Re4f,ReO2 (Re4+),7/2,42.2,41.80566663164312,0.06925559439472634,-0.3943333683568824
BOE_WK1,BOE,Re4f,ReO2 (Re4+),5/2,44.62,44.23368406713882,0.0697162230907238,-0.38631593286118004
BOE_WK1,BOE,Re4f,ReO3 (Re6+),7/2,43.1,43.22638404396488,0.28106810589572767,0.12638404396487601
BOE_WK1,BOE,Re4f,ReO3 (Re6+),5/2,45.52,45.654401479460574,0.2827531971860176,0.13440147946057124
BOE_WK1,BOE,Re4f,Re2O7 (Re7+),7/2,45.5,45.82395819005184,0.009730076294043584,0.32395819005184023
BOE_WK1,BOE,Re4f,Re2O7 (Re7+),5/2,47.92,48.25197562554754,0.009850109074570944,0.33197562554753546
BOE_WK2,BOE,Re4f,Re metal,7/2,40.35,40.452897573360204,0.03151996502088746,0.10289757336020244
BOE_WK2,BOE,Re4f,Re metal,5/2,42.77,42.87967680718331,0.03202350261137064,0.10967680718330541
BOE_WK2,BOE,Re4f,Redp1 (Reδ+1),7/2,40.57,40.6728975733602,0.03151996500165375,0.10289757336020244
