index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Re4f,Re metal,7/2,40.35,40.45999141630332,0.022808839944299365,0.10999141630331621
0,BOE_WK0,,,Re4f,Re metal,5/2,42.77,42.88709074768626,0.022687752077772263,0.11709074768625527
0,BOE_WK0,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.67999141630332,0.022808839966158213,0.10999141630331621
0,BOE_WK0,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.10709074768626,0.022687752077772263,0.11709074768625527
0,BOE_WK0,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.90999141630332,0.022808839966158213,0.10999141630332332
0,BOE_WK0,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.33709074768626,0.022687752077772263,0.11709074768626238
0,BOE_WK0,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.189991416303315,0.022808839966158213,0.10999141630331621
0,BOE_WK0,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.617090747686255,0.022687752077772263,0.11709074768625527
0,BOE_WK0,,,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.03900131788845381,-0.3999999999999986
0,BOE_WK0,,,Re4f,ReO2 (Re4+),5/2,44.62,44.227099331382945,0.03840511020224063,-0.3929006686170524
0,BOE_WK0,,,Re4f,ReO3 (Re6+),7/2,43.1,42.778656363693706,0.11230173820262604,-0.32134363630629537
0,BOE_WK0,,,Re4f,ReO3 (Re6+),5/2,45.52,45.20575569507665,0.11138776600163733,-0.3142443049233563
0,BOE_WK0,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.78606651186058,0.08737911909564623,0.2860665118605823
0,BOE_WK0,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.21316584324352,0.0876234260798574,0.29316584324352135
1,BOE_WK1,,,Re4f,Re metal,7/2,40.35,40.450272402484856,0.02553445408160798,0.1002724024848547
1,BOE_WK1,,,Re4f,Re metal,5/2,42.77,42.87828983798055,0.025998121090457623,0.10828983798054992
1,BOE_WK1,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.670272402484855,0.02553445403061275,0.1002724024848547
1,BOE_WK1,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09828983798055,0.025998121090457623,0.10828983798054992
1,BOE_WK1,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.90027240248486,0.02553445403061275,0.1002724024848618
1,BOE_WK1,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.328289837980556,0.025998121090457623,0.10828983798055702
1,BOE_WK1,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.18027240248485,0.02553445403061275,0.1002724024848547
1,BOE_WK1,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60828983798055,0.025998121090457623,0.10828983798054992
1,BOE_WK1,,,Re4f,ReO2 (Re4+),7/2,42.2,41.80566663164312,0.06925559439472634,-0.3943333683568824
1,BOE_WK1,,,Re4f,ReO2 (Re4+),5/2,44.62,44.23368406713882,0.0697162230907238,-0.38631593286118004
1,BOE_WK1,,,Re4f,ReO3 (Re6+),7/2,43.1,43.22638404396488,0.28106810589572767,0.12638404396487601
1,BOE_WK1,,,Re4f,ReO3 (Re6+),5/2,45.52,45.654401479460574,0.2827531971860176,0.13440147946057124
1,BOE_WK1,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.82395819005184,0.009730076294043584,0.32395819005184023
1,BOE_WK1,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.25197562554754,0.009850109074570944,0.33197562554753546
2,BOE_WK2,,,Re4f,Re metal,7/2,40.35,40.452897573360204,0.03151996502088746,0.10289757336020244
2,BOE_WK2,,,Re4f,Re metal,5/2,42.77,42.87967680718331,0.03202350261137064,0.10967680718330541
2,BOE_WK2,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.6728975733602,0.03151996500165375,0.10289757336020244
2,BOE_WK2,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09967680718331,0.03202350261137064,0.10967680718330541
2,BOE_WK2,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.90289757336021,0.03151996500165375,0.10289757336020955
2,BOE_WK2,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32967680718331,0.03202350261137064,0.10967680718331252
2,BOE_WK2,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.1828975733602,0.03151996500165375,0.10289757336020244
2,BOE_WK2,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.609676807183305,0.03202350261137064,0.10967680718330541
2,BOE_WK2,,,Re4f,ReO2 (Re4+),7/2,42.2,41.854724810887156,0.07942091242729833,-0.34527518911284716
2,BOE_WK2,,,Re4f,ReO2 (Re4+),5/2,44.62,44.28150404471026,0.08062327936510116,-0.3384959552897371
2,BOE_WK2,,,Re4f,ReO3 (Re6+),7/2,43.1,43.28240031926127,0.2984792247956176,0.18240031926126932
2,BOE_WK2,,,Re4f,ReO3 (Re6+),5/2,45.52,45.709179553084375,0.30048568041696844,0.1891795530843723
2,BOE_WK2,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.72530816229939,0.007988867843250147,0.22530816229939177
2,BOE_WK2,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.152087396122496,0.00856912304605819,0.23208739612249474
3,BOE_WK3,,,Re4f,Re metal,7/2,40.35,40.44505893541917,0.03069569559267146,0.09505893541916777
3,BOE_WK3,,,Re4f,Re metal,5/2,42.77,42.87208845152193,0.031195067743493864,0.10208845152192936
3,BOE_WK3,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.66505893541917,0.03069569550707173,0.09505893541916777
3,BOE_WK3,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09208845152193,0.031195067743493864,0.10208845152192936
3,BOE_WK3,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89505893541917,0.03069569550707173,0.09505893541917487
3,BOE_WK3,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.322088451521935,0.031195067743493864,0.10208845152193646
3,BOE_WK3,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.175058935419166,0.03069569550707173,0.09505893541916777
3,BOE_WK3,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60208845152193,0.031195067743493864,0.10208845152192936
3,BOE_WK3,,,Re4f,ReO2 (Re4+),7/2,42.2,41.82362853704463,0.09070786060764534,-0.37637146295537605
3,BOE_WK3,,,Re4f,ReO2 (Re4+),5/2,44.62,44.25065805314739,0.09205836535722023,-0.36934194685260735
3,BOE_WK3,,,Re4f,ReO3 (Re6+),7/2,43.1,43.19585902698561,0.3878295093809583,0.09585902698560744
3,BOE_WK3,,,Re4f,ReO3 (Re6+),5/2,45.52,45.62288854308837,0.3900847663675737,0.10288854308836903
3,BOE_WK3,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.922038657325004,0.009000827889194516,0.4220386573250039
3,BOE_WK3,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.34906817342777,0.008694631215945147,0.4290681734277655
4,Control_WK0,,,Re4f,Re metal,7/2,40.35,40.460184743936985,0.026126248979099716,0.11018474393698341
4,Control_WK0,,,Re4f,Re metal,5/2,42.77,42.88546197415325,0.02609703609709053,0.11546197415324855
4,Control_WK0,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.680184743936984,0.026126249023402305,0.11018474393698341
4,Control_WK0,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.10546197415325,0.02609703609709053,0.11546197415324855
4,Control_WK0,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.91018474393699,0.026126249023402305,0.11018474393699051
4,Control_WK0,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.335461974153255,0.02609703609709053,0.11546197415325565
4,Control_WK0,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.19018474393698,0.026126249023402305,0.11018474393698341
4,Control_WK0,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.61546197415325,0.02609703609709053,0.11546197415324855
4,Control_WK0,,,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.06559958538240841,-0.3999999999999986
4,Control_WK0,,,Re4f,ReO2 (Re4+),5/2,44.62,44.22527723021627,0.06462519516957398,-0.39472276978372633
4,Control_WK0,,,Re4f,ReO3 (Re6+),7/2,43.1,43.00781235206966,0.1361827985643076,-0.09218764793034495
4,Control_WK0,,,Re4f,ReO3 (Re6+),5/2,45.52,45.43308958228592,0.13622924958515123,-0.08691041771407981
4,Control_WK0,,,Re4f,Re2O7 (Re7+),7/2,45.5,46.109916754810456,0.018963101023003845,0.609916754810456
4,Control_WK0,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.53519398502672,0.01879793406445488,0.6151939850267212
5,Control_WK1,,,Re4f,Re metal,7/2,40.35,40.448673787686445,0.028529692135006307,0.09867378768644386
5,Control_WK1,,,Re4f,Re metal,5/2,42.77,42.87296585021909,0.028457772754126396,0.10296585021908555
5,Control_WK1,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.668673787686444,0.028529692090882026,0.09867378768644386
5,Control_WK1,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09296585021909,0.028457772754126396,0.10296585021908555
5,Control_WK1,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89867378768645,0.028529692090882026,0.09867378768645096
5,Control_WK1,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32296585021909,0.028457772754126396,0.10296585021909266
5,Control_WK1,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.17867378768644,0.028529692090882026,0.09867378768644386
5,Control_WK1,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.602965850219086,0.028457772754126396,0.10296585021908555
5,Control_WK1,,,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.0519971547426373,-0.3999999999999986
5,Control_WK1,,,Re4f,ReO2 (Re4+),5/2,44.62,44.22429206253265,0.051202781968355114,-0.3957079374673498
5,Control_WK1,,,Re4f,ReO3 (Re6+),7/2,43.1,42.945545249342764,0.12194428790903347,-0.15445475065723713
5,Control_WK1,,,Re4f,ReO3 (Re6+),5/2,45.52,45.36983731187541,0.12084204260411784,-0.15016268812459543
5,Control_WK1,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.973404015544574,0.018787146000173394,0.473404015544574
5,Control_WK1,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.39769607807722,0.01904278467584789,0.4776960780772157
6,Control_WK2,,,Re4f,Re metal,7/2,40.35,40.4524895206798,0.02891778348978421,0.10248952067979644
6,Control_WK2,,,Re4f,Re metal,5/2,42.77,42.87519752136568,0.028860679150702506,0.10519752136567462
6,Control_WK2,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.6724895206798,0.02891778355684281,0.10248952067979644
6,Control_WK2,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09519752136568,0.028860679150702506,0.10519752136567462
6,Control_WK2,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.9024895206798,0.02891778355684281,0.10248952067980355
6,Control_WK2,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32519752136568,0.028860679150702506,0.10519752136568172
6,Control_WK2,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.182489520679795,0.02891778355684281,0.10248952067979644
6,Control_WK2,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60519752136567,0.02886067948962262,0.10519752136566751
6,Control_WK2,,,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.05260085333858551,-0.3999999999999986
6,Control_WK2,,,Re4f,ReO2 (Re4+),5/2,44.62,44.222708000685884,0.05183348594616007,-0.3972919993141133
6,Control_WK2,,,Re4f,ReO3 (Re6+),7/2,43.1,42.961756342233535,0.11497033291853224,-0.1382436577664663
6,Control_WK2,,,Re4f,ReO3 (Re6+),5/2,45.52,45.384464342919415,0.11372778307124941,-0.13553565708058812
6,Control_WK2,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.959094431768115,0.018801328582805248,0.45909443176811493
6,Control_WK2,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.381802432453995,0.01917026276169022,0.4618024324539931
7,Control_WK3,,,Re4f,Re metal,7/2,40.35,40.449152879692534,0.02800100596053346,0.09915287969253228
7,Control_WK3,,,Re4f,Re metal,5/2,42.77,42.87149818023319,0.02795907929981783,0.10149818023318602
7,Control_WK3,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.66915287969253,0.0280010060067618,0.09915287969253228
7,Control_WK3,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09149818023319,0.02795907929981783,0.10149818023318602
7,Control_WK3,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89915287969254,0.0280010060067618,0.09915287969253939
7,Control_WK3,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32149818023319,0.02795907929981783,0.10149818023319312
7,Control_WK3,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.17915287969253,0.0280010060067618,0.09915287969253228
7,Control_WK3,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.601498180233186,0.02795907929981783,0.10149818023318602
7,Control_WK3,,,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.05210656859403053,-0.3999999999999986
7,Control_WK3,,,Re4f,ReO2 (Re4+),5/2,44.62,44.22234530054066,0.05133126804040811,-0.39765469945933773
7,Control_WK3,,,Re4f,ReO3 (Re6+),7/2,43.1,42.983710925234305,0.11204719194584678,-0.11628907476569594
7,Control_WK3,,,Re4f,ReO3 (Re6+),5/2,45.52,45.40605622577496,0.11109442681741534,-0.1139437742250422
7,Control_WK3,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.9609646783539,0.01733568459336937,0.4609646783539034
7,Control_WK3,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.38330997889456,0.017671886333669565,0.46330997889455716
