group,week,mean,std,count,sem
BOE,0,1.4130678772016088,,1,0.0
BOE,1,2.47148021225581,,1,0.0
BOE,2,2.5614131458332947,,1,0.0
BOE,3,2.571162362959524,,1,0.0
Control,0,3.443480332487935,,1,0.0
Control,1,3.37164649434308,,1,0.0
Control,2,3.3428576356278197,,1,0.0
Control,3,3.420779856214471,,1,0.0
