index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Re metal,0.12,0.21833797554320092,0.0,0.09833797554320092
0,BOE_WK0,,,ReO2 (Re4+),0.25,0.38104770386432224,0.0,0.13104770386432224
0,BOE_WK0,,,ReO3 (Re6+),0.25,0.5876598294094685,0.0,0.3376598294094685
0,BOE_WK0,,,Re2O7 (Re7+),0.3,0.25932915357177766,0.0,-0.04067084642822233
1,BOE_WK1,,,Re metal,0.12,0.21583448298752167,0.0,0.09583448298752167
1,BOE_WK1,,,ReO2 (Re4+),0.25,0.5999999999966803,0.0,0.3499999999966803
1,BOE_WK1,,,ReO3 (Re6+),0.25,0.7499999999994696,0.0,0.49999999999946965
1,BOE_WK1,,,Re2O7 (Re7+),0.3,0.43054458457619793,0.0,0.13054458457619794
2,BOE_WK2,,,Re metal,0.12,0.21756217269945557,0.0,0.09756217269945558
2,BOE_WK2,,,ReO2 (Re4+),0.25,0.5999999999998672,0.0,0.3499999999998672
2,BOE_WK2,,,ReO3 (Re6+),0.25,0.7499999999989942,0.0,0.49999999999899425
2,BOE_WK2,,,Re2O7 (Re7+),0.3,0.44051501930187187,0.0,0.14051501930187188
3,BOE_WK3,,,Re metal,0.12,0.2170648858509313,0.0,0.09706488585093132
3,BOE_WK3,,,ReO2 (Re4+),0.25,0.5999999999999657,0.0,0.34999999999996567
3,BOE_WK3,,,ReO3 (Re6+),0.25,0.7499999999999802,0.0,0.49999999999998024
3,BOE_WK3,,,Re2O7 (Re7+),0.3,0.42258252944750074,0.0,0.12258252944750075
4,Control_WK0,,,Re metal,0.12,0.21812359748142005,0.0,0.09812359748142005
4,Control_WK0,,,ReO2 (Re4+),0.25,0.5833396773396319,0.0,0.3333396773396319
4,Control_WK0,,,ReO3 (Re6+),0.25,0.7499999999920413,0.0,0.49999999999204126
4,Control_WK0,,,Re2O7 (Re7+),0.3,0.40227019113058937,0.0,0.10227019113058938
5,Control_WK1,,,Re metal,0.12,0.21447299174291187,0.0,0.09447299174291188
5,Control_WK1,,,ReO2 (Re4+),0.25,0.5999999999977242,0.0,0.34999999999772424
5,Control_WK1,,,ReO3 (Re6+),0.25,0.425818507793405,0.0,0.17581850779340502
5,Control_WK1,,,Re2O7 (Re7+),0.3,0.4035259988577967,0.0,0.10352599885779673
6,Control_WK2,,,Re metal,0.12,0.21400815682690033,0.0,0.09400815682690034
6,Control_WK2,,,ReO2 (Re4+),0.25,0.5999999999996675,0.0,0.34999999999966747
6,Control_WK2,,,ReO3 (Re6+),0.25,0.43594348002697836,0.0,0.18594348002697836
6,Control_WK2,,,Re2O7 (Re7+),0.3,0.41169353585214286,0.0,0.11169353585214287
7,Control_WK3,,,Re metal,0.12,0.21609979447366476,0.0,0.09609979447366476
7,Control_WK3,,,ReO2 (Re4+),0.25,0.5999999999945722,0.0,0.3499999999945722
7,Control_WK3,,,ReO3 (Re6+),0.25,0.5997302685546176,0.0,0.34973026855461764
7,Control_WK3,,,Re2O7 (Re7+),0.3,0.41209324169302,0.0,0.11209324169301998
